property_id,Property_Title,Address,Market,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Rent_Restricted,Neighborhood_Rating,Latitude,Longitude,Subdivision,School_Average
21,"24370 Dixon Corners Suite 924, Martinmouth, OK 83765","24370 Dixon Corners Suite 924, Martinmouth, OK 83765",Tampa,,24370 Dixon Corners Suite 924,Martinmouth,OK,83765,Condo,,Near,2.0,1225,No,,,,City,1934,547,8942,Garage,4,1,,Ranch,Yes,2,34.886,-111.517713,Groves,7.39
22,"5342 Hill Radial, Estradaton, MH 91801","5342 Hill Radial, Estradaton, MH 91801",Florida,Minimal Flood,5342 Hill Radial,Estradaton,MH,91801,Duplex,Far,Far,1.45,1900,No,No,No,,City,1921,1767,7546 sqft,Street,3,2,Yes,,No,3,36.417808,-99.774869,Port,3.47
23,"8749 Fuller Forge Apt. 828, North Alexis, IL 83103","8749 Fuller Forge Apt. 828, North Alexis, IL 83103",Tampa,,8749 Fuller Forge Apt. 828,North Alexis,IL,83103,SFR,Near,Far,2.41,857,No,,,Well,City,1982,3174,4963,Street,5,4,Yes,,No,2,40.983553,-103.558545,Stream,8.18
24,"835 Beverly Spring Suite 554, New Veronica, KY 63693","835 Beverly Spring Suite 554, New Veronica, KY 63693",Dallas,,835 Beverly Spring Suite 554,New Veronica,KY,63693,Condo,,Far,1.7,161,,,,Well,,1962,929,6965,Street,2,1,No,,No,2,37.262563,-105.60267,Hill,8.4
25,"325 Whitaker Route, Stewartmouth, NE 14681","325 Whitaker Route, Stewartmouth, NE 14681", ,,325 Whitaker Route,Stewartmouth,NE,14681,Single Family Home,Near,Far,2.89,396,Yes,,,,Septic,2018,3233,7200,,5,1,No,Ranch,Yes,4,37.068043,-78.267243,Views,5.37
26,"747 Christopher Manor Suite 881, Lake Diana, ID 23973","747 Christopher Manor Suite 881, Lake Diana, ID 23973", ,,747 Christopher Manor Suite 881,Lake Diana,ID,23973,SFR,Near,,1.65,1702,,,Yes,,City,2017,1434,6441,Street,3,1,Yes,Colonial,,2,36.104305,-93.640281,Lodge,9.36
27,"093 Hunter Stravenue, Victoriaborough, NC 11908","093 Hunter Stravenue, Victoriaborough, NC 11908",Dalas,,093 Hunter Stravenue,Victoriaborough,NC,11908,SFR,Near,Far,3.38,491,Yes,,No,Well,City,1990,2353,7759,Street,3,3,Yes,Split,,5,41.916295,-86.312394,Greens,4.58
28,"8107 Johnson Pike Apt. 346, New Davidport, FL 05662","8107 Johnson Pike Apt. 346, New Davidport, FL 05662",Florida,Flood Zone,8107 Johnson Pike Apt. 346,New Davidport,FL,05662,Condo,,Far,1.56,841,No,,Yes,,City,2020,1678,7972,Driveway,3,3,No,Ranch,No,3,36.753113,-79.773615,Station,4.31
29,"9915 Ann Plain, Deanport, WY 13549","9915 Ann Plain, Deanport, WY 13549", ,,9915 Ann Plain,Deanport,WY,13549,Single Family Home,Near,Far,2.89,1343,No,,Yes,Well,Septic,1966,3397,7912,Street,6,1,Yes,Colonial,,1,40.745904,-93.566393,Isle,9.16
30,"1021 Susan Expressway, Reevesland, WY 96293","1021 Susan Expressway, Reevesland, WY 96293",Atlanta,,1021 Susan Expressway,Reevesland,WY,96293,Condo,,Far,3.44,1232,,Yes,No,,Septic,1934,1314,4240,Garage,3,4,,,,3,40.721806,-73.244338,Mountain,5.3
31,"76111 Kari Estates, New Brittany, HI 43462","76111 Kari Estates, New Brittany, HI 43462",Dalas,Minimal Flood,76111 Kari Estates,New Brittany,HI,43462,Single Family Home,Far,Far,1.93,911,No,Yes,,,,1930,3492,8238,Driveway,2,3,No,Colonial,No,5,41.127827,-78.373319,Roads,4.64
32,"09301 Alex Garden Suite 396, East Ericmouth, HI 48407","09301 Alex Garden Suite 396, East Ericmouth, HI 48407", ,Minimal Flood,09301 Alex Garden Suite 396,East Ericmouth,HI,48407,Townhouse,Far,Far,3.13,809,Yes,Yes,No,City,Septic,1976,3374,4056,Garage,6,4,No,Ranch,,3,40.333745,-85.092666,Trafficway,5.63
33,"2306 Jason Point, East Nancyside, VI 20629","2306 Jason Point, East Nancyside, VI 20629",Dallas,Flood Zone,2306 Jason Point,East Nancyside,VI,20629,Duplex,Near,Far,1.58,1737,,No,,,Septic,1960,1158,8846,Driveway,1,1,,Colonial,,2,34.408555,-102.892927,Plain,4.89
34,"652 Hannah Land, Pattonton, MS 58235","652 Hannah Land, Pattonton, MS 58235",Dallas,Minimal Flood,652 Hannah Land,Pattonton,MS,58235,Single Family Home,,Far,3.02,836,No,No,,City,Septic,1968,2091,7552,Garage,1,2,Yes,Colonial,,5,39.35717,-107.275772,Parkway,4.67
35,"81140 Catherine Port, North Erik, OR 30636","81140 Catherine Port, North Erik, OR 30636", ,Flood Zone,81140 Catherine Port,North Erik,OR,30636,Duplex,,Near,1.77,1858,Yes,No,Yes,,,1955,735,4677,,2,3,No,,No,4,37.341042,-116.149645,Unions,5.25
36,"31389 Atkins Alley, Keybury, AS 21790","31389 Atkins Alley, Keybury, AS 21790",Chicgo,Minimal Flood,31389 Atkins Alley,Keybury,AS,21790,Condo,,,2.21,964,Yes,No,,Well,City,1974,1615,5979,Street,2,2,Yes,,No,2,36.709744,-112.747029,Estates,9.46
37,"189 Danielle Drives Suite 257, Wallaceside, VI 04284","189 Danielle Drives Suite 257, Wallaceside, VI 04284",Dalas,,189 Danielle Drives Suite 257,Wallaceside,VI,04284,Single Family Home,Near,Far,1.31,1744,,,Yes,,,1980,2242,8931,Street,4,4,No,Split,,4,33.626132,-75.153572,Track,3.2
38,"5073 Samuel Corner Suite 684, Port Adamberg, AZ 54317","5073 Samuel Corner Suite 684, Port Adamberg, AZ 54317",Dalas,,5073 Samuel Corner Suite 684,Port Adamberg,AZ,54317,Duplex,Near,Far,1.65,942,Yes,No,,,Septic,2021,2959,9029,Street,5,1,No,Colonial,No,2,39.183508,-77.323914,Loaf,8.72
39,"44621 Price Via Suite 243, New Victortown, UT 48230","44621 Price Via Suite 243, New Victortown, UT 48230", ,,44621 Price Via Suite 243,New Victortown,UT,48230,Duplex,Far,Far,2.86,1508,Yes,No,Yes,Well,Septic,1996,1796,3912,Garage,5,1,Yes,,,1,35.538525,-87.5541,Pike,6.31
40,"8911 William Road Apt. 219, South Donna, GA 10970","8911 William Road Apt. 219, South Donna, GA 10970",Dalas,,8911 William Road Apt. 219,South Donna,GA,10970,Duplex,Near,Far,2.62,1144,,,,Well,Septic,1935,1135,5054,Garage,1,4,Yes,,,5,34.483974,-79.252398,Lodge,9.83
41,"5866 Ryan Ports Suite 082, Baldwinhaven, NC 49168","5866 Ryan Ports Suite 082, Baldwinhaven, NC 49168",Tampa,,5866 Ryan Ports Suite 082,Baldwinhaven,NC,49168,Townhouse,Near,Far,1.87,1914,Yes,No,,,City,1933,2464,5825,Driveway,4,3,Yes,Split,Yes,3,33.551617,-96.831736,Views,3.38
42,"47850 Vang Cape, New Matthew, DC 86284","47850 Vang Cape, New Matthew, DC 86284",Atlanta,,47850 Vang Cape,New Matthew,DC,86284,SFR,,,1.63,1506,No,Yes,No,Well,,1944,2106,6095,,1,2,Yes,Colonial,,4,39.558778,-113.30977,Station,6.44
43,"4477 Omar Squares Apt. 128, Zacharyview, HI 88461","4477 Omar Squares Apt. 128, Zacharyview, HI 88461",Chicago,,4477 Omar Squares Apt. 128,Zacharyview,HI,88461,Condo,Near,Near,1.97,173,Yes,Yes,No,,,1942,2675,9362,Driveway,4,2,No,Ranch,No,4,40.987941,-114.008584,Ports,7.83
44,"717 Arias Run Apt. 784, Melissaland, AR 60231","717 Arias Run Apt. 784, Melissaland, AR 60231", ,,717 Arias Run Apt. 784,Melissaland,AR,60231,Condo,,Far,2.1,477,Yes,No,No,Well,,1941,3011,6332,,6,1,No,Ranch,No,1,35.593028,-87.089633,Centers,8.88
45,"5272 Benjamin Union Suite 907, Stoutbury, AS 31836","5272 Benjamin Union Suite 907, Stoutbury, AS 31836",Atlanta,Minimal Flood,5272 Benjamin Union Suite 907,Stoutbury,AS,31836,Condo,,Far,3.12,301,Yes,No,No,City,City,1941,1935,4353,,2,1,Yes,,No,5,41.865028,-87.399928,Cliff,3.88
46,"0771 Jason Motorway Apt. 167, East Lisa, NJ 58194","0771 Jason Motorway Apt. 167, East Lisa, NJ 58194",Atlanta,,0771 Jason Motorway Apt. 167,East Lisa,NJ,58194,Condo,Near,Near,2.35,946,Yes,No,No,City,,1941,2246,7706,,5,2,No,Colonial,,1,38.334531,-85.3658,Route,9.34
47,"7902 Stephanie Keys, Lindaburgh, IN 27016","7902 Stephanie Keys, Lindaburgh, IN 27016",Dallas,Minimal Flood,7902 Stephanie Keys,Lindaburgh,IN,27016,Townhouse,,,3.38,1973,Yes,,,,City,1971,1687,9870,Street,4,1,Yes,Split,No,1,33.982972,-117.779513,Rapids,9.99
48,"52374 Ramirez Park, West Cherylton, KY 70868","52374 Ramirez Park, West Cherylton, KY 70868",Florida,Minimal Flood,52374 Ramirez Park,West Cherylton,KY,70868,Townhouse,Near,Near,3.06,1393,Yes,Yes,Yes,,Septic,1946,1911,9423,,3,3,No,Split,,4,34.44408,-108.545705,Club,8.29
49,"8774 Craig Field Apt. 672, South Chloe, VA 08684","8774 Craig Field Apt. 672, South Chloe, VA 08684",Atlanta,Flood Zone,8774 Craig Field Apt. 672,South Chloe,VA,08684,Townhouse,Near,Far,2.22,1427,No,Yes,,,,2012,2450,6318,Garage,4,2,Yes,,No,5,41.005836,-89.965448,Shoal,5.18
50,"85996 Peterson Turnpike, New Ericfurt, SC 92355","85996 Peterson Turnpike, New Ericfurt, SC 92355",Florida,Flood Zone,85996 Peterson Turnpike,New Ericfurt,SC,92355,Duplex,,,2.48,1477,,No,No,City,Septic,1922,2248,4088,,3,4,,Colonial,No,1,34.78764,-116.260904,Junction,4.75
51,"0553 Lambert Circle Suite 906, Port Kyle, HI 14557","0553 Lambert Circle Suite 906, Port Kyle, HI 14557",Tampa,Flood Zone,0553 Lambert Circle Suite 906,Port Kyle,HI,14557,Duplex,Far,Far,1.77,1917,,Yes,Yes,Well,,1938,2455,9974,Garage,5,4,,,No,5,38.3856,-113.978812,Garden,4.66
52,"8415 Smith Walks Apt. 769, West Rickyburgh, NH 13960","8415 Smith Walks Apt. 769, West Rickyburgh, NH 13960",Dalas,,8415 Smith Walks Apt. 769,West Rickyburgh,NH,13960,Single Family Home,Far,Near,2.79,1526,,No,No,City,Septic,1952,1001,4620,Driveway,3,2,,Split,,4,41.953883,-106.119198,Lane,8.69
53,"845 Timothy Harbor Suite 528, South Keithmouth, SD 86553","845 Timothy Harbor Suite 528, South Keithmouth, SD 86553", ,Minimal Flood,845 Timothy Harbor Suite 528,South Keithmouth,SD,86553,Duplex,Near,,1.16,241,Yes,No,Yes,Well,,1964,672,9300,Street,6,3,Yes,Split,No,3,41.102579,-106.390054,Falls,5.26
54,"530 Coleman Key, South Andrew, OR 68543","530 Coleman Key, South Andrew, OR 68543",Dallas,Flood Zone,530 Coleman Key,South Andrew,OR,68543,Condo,,Near,1.53,1631,No,Yes,,Well,,1963,1809,4246,Street,3,2,Yes,Split,No,5,35.379346,-103.130606,Garden,6.7
55,"185 Loretta Walks Suite 224, Gomezton, IN 88330","185 Loretta Walks Suite 224, Gomezton, IN 88330",Dalas,,185 Loretta Walks Suite 224,Gomezton,IN,88330,Single Family Home,Far,,3.14,1937,No,,Yes,,,1945,1142,9261,Garage,2,1,Yes,,No,2,33.34046,-87.03496,Plains,5.47
56,"474 Scott Green, East Carolyn, SD 52517","474 Scott Green, East Carolyn, SD 52517",Chicgo,Flood Zone,474 Scott Green,East Carolyn,SD,52517,Single Family Home,Near,Far,2.96,301,Yes,No,,City,City,1999,3398,7507,Driveway,4,1,Yes,Split,,2,41.442801,-110.464449,View,8.42
57,"558 Ashley Light Apt. 870, Dayport, HI 02115","558 Ashley Light Apt. 870, Dayport, HI 02115",Chicgo,Flood Zone,558 Ashley Light Apt. 870,Dayport,HI,02115,SFR,,Far,1.23,1572,Yes,,,Well,,1940,2521,5108,Garage,2,3,No,Colonial,No,3,35.408204,-104.077139,Mountain,6.88
58,"4504 William Light Apt. 321, South Kurtside, NV 76721","4504 William Light Apt. 321, South Kurtside, NV 76721",Dalas,,4504 William Light Apt. 321,South Kurtside,NV,76721,Townhouse,Far,Near,3.04,38,,,No,,City,2000,2152,6421,Driveway,2,3,,,Yes,5,40.273609,-104.820246,Curve,8.23
59,"47032 Rosario Highway Suite 683, Acostabury, MH 80104","47032 Rosario Highway Suite 683, Acostabury, MH 80104", ,Minimal Flood,47032 Rosario Highway Suite 683,Acostabury,MH,80104,Single Family Home,Near,,1.72,428,,Yes,Yes,Well,Septic,1996,1576,6451,Driveway,3,1,Yes,Ranch,No,3,40.578652,-108.882189,Islands,9.24
60,"990 Tanya Flats, Gomezville, FL 67896","990 Tanya Flats, Gomezville, FL 67896",Atlanta,Minimal Flood,990 Tanya Flats,Gomezville,FL,67896,Single Family Home,,,2.17,1631,Yes,,Yes,Well,,1990,1494,5575,Garage,6,2,No,Colonial,No,2,37.568996,-73.363168,Lodge,7.34
61,"4228 Robert Knolls Suite 469, New Timothymouth, AR 63399","4228 Robert Knolls Suite 469, New Timothymouth, AR 63399",Chicgo,,4228 Robert Knolls Suite 469,New Timothymouth,AR,63399,Single Family Home,Near,,3.07,410,,Yes,,Well,City,2020,2226,3502,Garage,3,2,No,,,2,39.611224,-102.062124,Trafficway,4.06
62,"508 Baker Stream, Port Alan, WA 62362","508 Baker Stream, Port Alan, WA 62362",Dallas,,508 Baker Stream,Port Alan,WA,62362,Single Family Home,Far,Far,2.19,1821,Yes,No,No,,City,2017,2585,4073,Driveway,4,4,Yes,Ranch,Yes,5,36.460542,-76.160247,Stravenue,8.24
63,"733 Jessica Mills, Brownbury, KY 08610","733 Jessica Mills, Brownbury, KY 08610",Chicago,Flood Zone,733 Jessica Mills,Brownbury,KY,08610,Townhouse,Far,,1.53,821,,No,Yes,Well,Septic,1983,1747,9971,Street,6,1,,Ranch,Yes,1,36.359769,-85.310936,Turnpike,7.04
64,"72391 Amber Motorway Suite 803, Nguyenburgh, GU 46272","72391 Amber Motorway Suite 803, Nguyenburgh, GU 46272",Dalas,Flood Zone,72391 Amber Motorway Suite 803,Nguyenburgh,GU,46272,Townhouse,Near,Near,2.37,1084,Yes,,No,,,1985,1594,7274,Garage,5,1,No,Ranch,,2,37.87841,-92.980006,Plaza,9.19
65,"603 Berg Fort Suite 850, Silvafort, NJ 64848","603 Berg Fort Suite 850, Silvafort, NJ 64848",Tampa,,603 Berg Fort Suite 850,Silvafort,NJ,64848,Townhouse,Far,,1.19,1444,,No,,City,Septic,1982,2245,9868,,5,4,No,Colonial,,1,39.688807,-73.526094,Viaduct,4.54
66,"520 Bird Islands, Lake William, KS 25023","520 Bird Islands, Lake William, KS 25023", ,Flood Zone,520 Bird Islands,Lake William,KS,25023,Townhouse,Near,Far,1.99,933,No,,Yes,,Septic,1940,536,5522,Garage,1,2,,Colonial,No,4,40.886598,-104.670416,Harbors,8.08
67,"2485 Collins Island, West Alicia, AK 89397","2485 Collins Island, West Alicia, AK 89397",Chicgo,,2485 Collins Island,West Alicia,AK,89397,Single Family Home,,Near,1.54,205,No,,No,City,City,2017,1603,3601,Driveway,3,1,Yes,,No,4,35.396403,-108.895483,Harbors,8.24
68,"0913 Jeffrey Falls, Lake Jefferyfort, NY 20974","0913 Jeffrey Falls, Lake Jefferyfort, NY 20974", ,Flood Zone,0913 Jeffrey Falls,Lake Jefferyfort,NY,20974,Duplex,Far,,2.02,1682,Yes,Yes,,,,1986,3000,3735,Driveway,3,3,Yes,Colonial,,3,33.725299,-87.251878,Point,7.51
69,"6545 Lopez Circles, North Brianna, NH 44099","6545 Lopez Circles, North Brianna, NH 44099",Chicgo,Flood Zone,6545 Lopez Circles,North Brianna,NH,44099,Duplex,Near,Far,3.26,890,No,No,,,City,1944,3026,5682,Street,4,3,,,,5,38.623676,-76.837278,Common,9.66
70,"731 Jennifer Crest Suite 680, Lake Luismouth, ND 21301","731 Jennifer Crest Suite 680, Lake Luismouth, ND 21301",Chicgo,Flood Zone,731 Jennifer Crest Suite 680,Lake Luismouth,ND,21301,SFR,Near,Far,1.22,1528,Yes,,Yes,,City,1958,563,3595,Driveway,1,4,,Colonial,No,2,41.83494,-81.546668,Lane,9.03
71,"113 Joseph Tunnel, North Sandrashire, WV 36436","113 Joseph Tunnel, North Sandrashire, WV 36436",Chicago,,113 Joseph Tunnel,North Sandrashire,WV,36436,SFR,,Far,1.58,1832,,Yes,No,,Septic,2021,2037,8003,Street,2,1,,,Yes,1,40.487477,-102.748097,Spur,6.68
72,"035 Chapman Camp Apt. 809, Aliciaville, AR 94378","035 Chapman Camp Apt. 809, Aliciaville, AR 94378",Tampa,Flood Zone,035 Chapman Camp Apt. 809,Aliciaville,AR,94378,Townhouse,Near,Near,2.9,254,Yes,Yes,Yes,Well,City,1987,1093,3851,Driveway,1,1,Yes,Split,No,1,37.172581,-91.423918,Lights,6.65
73,"76303 Ryan Underpass Suite 283, Lake Anthonyton, CT 26480","76303 Ryan Underpass Suite 283, Lake Anthonyton, CT 26480",Tampa,Minimal Flood,76303 Ryan Underpass Suite 283,Lake Anthonyton,CT,26480,Duplex,,,1.63,372,No,Yes,Yes,,Septic,1923,2278,6739,Street,3,4,No,Ranch,,2,37.82435,-104.226227,Field,7.15
74,"81334 Thomas Creek, Turnerside, VA 23067","81334 Thomas Creek, Turnerside, VA 23067", ,Flood Zone,81334 Thomas Creek,Turnerside,VA,23067,Duplex,,Near,2.23,1679,,No,No,,,1960,3144,8845,Driveway,5,3,,Split,,1,33.068318,-111.90629,Loop,4.38
75,"65405 Fry Locks, North Robert, NJ 55056","65405 Fry Locks, North Robert, NJ 55056",Atlanta,,65405 Fry Locks,North Robert,NJ,55056,Townhouse,,Near,1.89,1418,Yes,No,No,,City,2009,3090,9007,Garage,2,2,,Split,Yes,3,36.860625,-74.943463,Crossing,5.7
76,"7249 Morales Haven, Port Carol, ND 04041","7249 Morales Haven, Port Carol, ND 04041",Dallas,Flood Zone,7249 Morales Haven,Port Carol,ND,04041,Townhouse,Near,Near,1.44,657,Yes,,,,,1981,2844,7328,Street,4,3,Yes,Split,,5,38.10408,-84.942699,Branch,8.52
77,"001 Shaw Garden Suite 559, Port Kevin, KY 62010","001 Shaw Garden Suite 559, Port Kevin, KY 62010",Chicago,,001 Shaw Garden Suite 559,Port Kevin,KY,62010,Townhouse,Near,Near,2.92,130,,No,No,Well,,1962,1710,3764,Garage,4,1,,Split,Yes,3,36.964882,-81.933409,Road,3.89
78,"85866 Glen Viaduct, Austinchester, RI 30608","85866 Glen Viaduct, Austinchester, RI 30608",Dalas,Minimal Flood,85866 Glen Viaduct,Austinchester,RI,30608,Duplex,Near,Near,3.19,381,Yes,No,Yes,Well,,1982,978,9574,Street,3,2,,Ranch,,3,38.169188,-84.508802,Club,5.69
79,"45151 Matthew Cliffs Apt. 635, Daniellefort, MN 29379","45151 Matthew Cliffs Apt. 635, Daniellefort, MN 29379",Tampa,Flood Zone,45151 Matthew Cliffs Apt. 635,Daniellefort,MN,29379,SFR,,,2.47,1179,,Yes,No,City,,1973,1246,8171,,1,1,,Ranch,No,1,41.311951,-112.140398,Passage,6.47
80,"860 Joshua Falls, Davidbury, VT 03077","860 Joshua Falls, Davidbury, VT 03077",Tampa,Flood Zone,860 Joshua Falls,Davidbury,VT,03077,Townhouse,Near,Far,2.61,1361,,No,No,,,2013,1879,4355,Driveway,2,3,Yes,,,2,34.506701,-95.954308,Village,4.07
81,"84405 Andre Estates Apt. 958, Lake Michaelfort, AR 52765","84405 Andre Estates Apt. 958, Lake Michaelfort, AR 52765",Dallas,,84405 Andre Estates Apt. 958,Lake Michaelfort,AR,52765,Duplex,Far,,2.69,1963,No,Yes,No,Well,,1956,2713,6306,Street,6,2,,Split,,5,34.819368,-99.436267,Canyon,8.43
82,"772 Darlene Ways, Howardton, OH 94330","772 Darlene Ways, Howardton, OH 94330",Tampa,,772 Darlene Ways,Howardton,OH,94330,Single Family Home,Far,,2.16,1117,Yes,Yes,No,,Septic,1973,2477,5296,,5,1,Yes,Colonial,Yes,3,36.085692,-110.281769,Canyon,8.52
83,"678 Lozano Ford Apt. 390, North Kimberly, CA 25555","678 Lozano Ford Apt. 390, North Kimberly, CA 25555",Florida,Minimal Flood,678 Lozano Ford Apt. 390,North Kimberly,CA,25555,Townhouse,,Near,1.94,1449,No,Yes,No,,Septic,1949,1646,8316,,6,4,Yes,Ranch,,4,38.097817,-83.778533,Extensions,7.76
