property_id,Reviewed_Status,Most_Recent_Status,Source,Occupancy,Net_Yield,IRR,Selling_Reason,Seller_Retained_Broker,Final_Reviewer,leads_id
34,Cancelled,Null,M L S,,4.49,23.16,Investor Sale,Yes,Luis Garcia,34
35,Offered, ,M L S,,3.29,20.79,Job Transfer,Yes,Samantha Pierce,35
36,Null,Kick,M L S,Yes,6.11,9.6,Downsizing,No,Michael Chen,36
37, Closed,Closed,M L S,Yes,10.12,27.34,Investor Sale,,Michael Chen,37
38, ,Always Kick,Auction.com,No,5.49,21.81,Investor Sale,,Samantha Pierce,38
39,Accepted Offer, Close ,Opendoor,,5.27,18.83,Downsizing,Yes,Emily Patel,39
40,Offered,Cancel,Broker,,2.71,26.22,Job Transfer,No,Jason Miller,40
41, Closed,Available,M L S,No,4.01,28.2,Investor Sale,No,Jessica Lin,41
42,Reviewed,Close,Broker,No,11.23,7.65,,,Samantha Pierce,42
43,Cancelled,Cancelled,Broker,No,17.17,24.4,Investor Sale,,Jessica Lin,43
44,Offered,Kick, MLS,No,16.99,17.59,Downsizing,,Sophia Williams,44
45,Accepted Offer,Close,M.L.S.,,14.59,10.15,Downsizing,,Priya Sharma,45
46, ,Kick,Bulk,No,12.59,24.92,Job Transfer,,Priya Sharma,46
47,New,Close,Bulk,,6.48,26.08,Downsizing,,Luis Garcia,47
48,Null,Closed,Opendoor,Yes,13.02,12.63,Job Transfer,,Luis Garcia,48
49, Closed, Close ,Auction.com,No,18.93,16.87,Job Transfer,Yes,David Thompson,49
50,Cancelled, ,M L S,Yes,6.77,26.12,Investor Sale,,Jessica Lin,50
51,Accepted Offer,Cancelled,Internal,Yes,17.93,17.48,,,Jessica Lin,51
52,New,Pending,M.L.S.,Yes,3.92,9.42,Downsizing,No,Amit Kumar,52
53,Cancelled,Cancelled,Broker,,4.39,15.26,Downsizing,,David Thompson,53
54, Closed, ,Broker,,3.29,28.66,,Yes,Samantha Pierce,54
55,Null,Close,Opendoor,Yes,4.41,28.95,,Yes,Michael Chen,55
56,Accepted Offer,Kick,M L S,,18.27,5.18,,Yes,Priya Sharma,56
57, ,Null,Bulk,No,14.66,26.38,Downsizing,No,Luis Garcia,57
58,Null,Null,Internal,Yes,3.86,13.52,Downsizing,No,Jason Miller,58
59,Null,Pending,M L S,No,8.95,18.91,,Yes,Samantha Pierce,59
60, Closed,Always Kick,Opendoor,Yes,3.76,14.3,Investor Sale,No,Jessica Lin,60
61, Closed, ,M L S,,12.51,12.03,Job Transfer,Yes,Priya Sharma,61
62,Reviewed,Closed,Bulk,,8.34,8.7,Job Transfer,No,Emily Patel,62
63,Closed, ,Auction.com,No,7.35,25.43,,Yes,Michael Chen,63
64,New, Close , MLS,Yes,8.32,7.31,Investor Sale,No,Jason Miller,64
65,Reviewed,Null,Opendoor,,18.48,26.27,,,Jessica Lin,65
66,Reviewed,Null,M L S,,10.42,21.22,Investor Sale,No,Jason Miller,66
67,Accepted Offer,Available,Bulk,Yes,8.49,25.72,Job Transfer,Yes,David Thompson,67
68,Neww,Kick,M.L.S.,No,7.65,25.31,Downsizing,Yes,Amit Kumar,68
69,Cancelled,Pend,M.L.S.,Yes,6.56,10.01,,Yes,Luis Garcia,69
70,Closed,Available,Opendoor,No,9.51,8.46,Job Transfer,,David Thompson,70
71,Neww,Cancel,Opendoor,Yes,16.63,9.11,Job Transfer,,Priya Sharma,71
72,Neww,Pending,M.L.S.,,2.35,16.4,Job Transfer,,Samantha Pierce,72
73,Offered,Kick, MLS,Yes,5.9,13.48,Job Transfer,Yes,Emily Patel,73
74, ,Available,M L S,Yes,14.83,27.09,Downsizing,Yes,Samantha Pierce,74
75,New,Available,M.L.S.,,4.26,23.58,Job Transfer,,Amit Kumar,75
76,Neww,Cancelled,M L S,,10.27,29.08,Job Transfer,,Priya Sharma,76
77,Cancelled,Closed,Internal,,14.16,7.79,,No,Michael Chen,77
78,Neww,Kick,Bulk,,15.8,22.12,Investor Sale,Yes,Michael Chen,78
79,Accepted Offer,Cancel,M.L.S.,No,18.07,12.49,,Yes,David Thompson,79
80, Closed, ,M.L.S.,No,19.0,15.74,Downsizing,No,Michael Chen,80
81,Neww,Always Kick,M L S,No,12.65,9.96,Downsizing,,Jason Miller,81
82,Offered,Pend,M L S,No,7.21,24.07,Job Transfer,No,Samantha Pierce,82
83,New,Available,Auction.com,Yes,3.72,6.54,,No,Jason Miller,83
84,Offered, ,M L S,No,7.76,24.85,,Yes,Samantha Pierce,84
85, ,Close,Internal,No,2.56,28.59,Investor Sale,,Luis Garcia,85
86,Cancelled,Available,Auction.com,No,10.33,23.03,Investor Sale,Yes,Luis Garcia,86
87, Closed,Pend,Auction.com,No,10.83,20.57,,,Michael Chen,87
88,Cancelled,Close,Auction.com,No,7.23,18.2,Investor Sale,No,Michael Chen,88
89,Accepted Offer,Null,Opendoor,,13.39,9.5,Investor Sale,No,Jason Miller,89
90,New,Closed,Opendoor,No,10.35,19.95,,,Jason Miller,90
91,New,Pending,Internal,,15.11,22.69,Job Transfer,Yes,Amit Kumar,91
92,Closed,Cancel,Broker,Yes,5.22,11.21,Investor Sale,Yes,Luis Garcia,92
93, Closed,Always Kick,M.L.S.,,6.86,26.11,Downsizing,Yes,Michael Chen,93
94,Closed,Kick,Auction.com,Yes,19.79,6.73,Downsizing,Yes,Priya Sharma,94
95,Closed, ,M L S,No,4.12,14.33,Downsizing,,Sophia Williams,95
96,Closed,Null,M L S,,17.29,29.01,Job Transfer,,Samantha Pierce,96
97,Offered,Cancel,M L S,Yes,10.26,22.27,Downsizing,,Priya Sharma,97
98, Closed,Null,M L S,No,17.39,26.89,,Yes,Amit Kumar,98
99,Null,Close,Broker,Yes,8.1,26.63,Investor Sale,Yes,Michael Chen,99
100,New,Pending,Auction.com,No,3.08,10.17,Downsizing,Yes,Jessica Lin,100
101,Closed,Cancelled,M L S,No,4.24,15.46,Downsizing,,Amit Kumar,101
102,Offered,Null,Internal,No,12.34,15.5,Job Transfer,,Luis Garcia,102
103, ,Cancelled,Internal,No,14.33,26.26,,No,David Thompson,103
104,Cancelled,Pend,Broker,,12.8,25.66,,Yes,Michael Chen,104
105,Accepted Offer,Close,Auction.com,No,4.77,22.52,Job Transfer,Yes,Michael Chen,105
106,Reviewed,Cancel,Bulk,Yes,10.03,23.72,Job Transfer,Yes,Samantha Pierce,106
107,Offered,Close,Bulk,Yes,8.43,17.68,Investor Sale,Yes,Priya Sharma,107
108,Cancelled,Pending,Opendoor,Yes,2.71,19.64,Investor Sale,Yes,Michael Chen,108
109,Closed,Cancel, MLS,,2.99,20.63,,,David Thompson,109
110, ,Available,M.L.S.,,10.89,7.12,Downsizing,,Michael Chen,110
111,Null,Available,Auction.com,,9.29,24.0,,,Sophia Williams,111
112,New,Closed,Opendoor,,13.56,21.48,Investor Sale,No,Emily Patel,112
113,Reviewed,Null, MLS,Yes,6.03,6.13,Investor Sale,No,David Thompson,113
114,Reviewed, Close ,Opendoor,Yes,4.2,7.4,,,Amit Kumar,114
115,Reviewed,Kick,Internal,Yes,10.17,27.59,Job Transfer,,David Thompson,115
116,Closed,Null,Internal,No,9.47,29.84,,Yes,Sophia Williams,116
117,Reviewed,Cancelled,Auction.com,,12.12,25.84,,Yes,Jason Miller,117
118,Null,Cancel,Opendoor,No,6.69,27.92,Investor Sale,,Jason Miller,118
119,Null,Kick, MLS,,16.02,8.46,Job Transfer,No,Amit Kumar,119
120,Reviewed,Available,Broker,,4.51,15.56,Job Transfer,Yes,Jason Miller,120
121,Accepted Offer,Always Kick,Opendoor,Yes,7.34,6.67,,,Luis Garcia,121
122,Closed, Close ,M L S,Yes,18.97,8.51,Investor Sale,Yes,David Thompson,122
123,Cancelled,Closed, MLS,No,9.6,15.04,Investor Sale,,Emily Patel,123
124,Neww, , MLS,No,18.99,5.47,,Yes,Luis Garcia,124
125,Cancelled, Close ,Broker,Yes,6.63,23.4,,Yes,Luis Garcia,125
126, ,Cancelled, MLS,Yes,16.93,19.31,Job Transfer,No,Samantha Pierce,126
127,Cancelled,Closed,Bulk,No,2.08,22.75,Downsizing,No,Samantha Pierce,127
128, Closed,Null, MLS,,2.47,25.51,,No,Jason Miller,128
129, Closed,Kick,Opendoor,No,5.27,16.69,Investor Sale,,Emily Patel,129
130,Offered,Closed,Opendoor,Yes,17.52,22.02,,No,Samantha Pierce,130
131,Neww,Kick,Auction.com,No,18.45,24.35,Investor Sale,Yes,Jason Miller,131
132,Cancelled, ,Broker,No,10.4,5.65,Downsizing,No,Priya Sharma,132
133,Cancelled,Closed,Bulk,No,3.44,13.72,Investor Sale,,Luis Garcia,133
134, Closed,Close,Opendoor,,14.37,18.71,,Yes,Emily Patel,134
135,Null,Cancelled,Bulk,,11.68,12.75,Job Transfer,Yes,Jessica Lin,135
136,Reviewed,Available,Internal,No,14.06,20.46,Downsizing,,Jason Miller,136
137,Neww,Closed,Opendoor,,10.33,14.43,Downsizing,,David Thompson,137
138,Offered,Pending,Auction.com,Yes,2.19,10.51,Downsizing,,Emily Patel,138
139,Reviewed,Close,Opendoor,No,7.96,27.61,,,Emily Patel,139
140,Null, ,Bulk,,3.01,5.96,Downsizing,,Amit Kumar,140
141,Closed, ,Opendoor,Yes,5.61,21.92,Investor Sale,No,Emily Patel,141
142,Null,Null,M L S,Yes,12.54,17.64,,Yes,Luis Garcia,142
143,Offered,Pending,Bulk,,19.28,27.44,Downsizing,,Amit Kumar,143
144,Cancelled,Pend,Internal,No,9.51,5.41,,,Luis Garcia,144
145,Reviewed,Cancelled,Bulk,No,9.45,23.7,Downsizing,No,Jessica Lin,145
146,Neww, , MLS,Yes,17.36,15.53,,,David Thompson,146
147,Offered,Pending,Auction.com,Yes,12.41,25.97,Job Transfer,,Jessica Lin,147
148,New,Pending, MLS,Yes,7.31,8.42,Investor Sale,No,Emily Patel,148
149, ,Pend,M.L.S.,,5.54,6.82,,No,Michael Chen,149
150,Reviewed, ,Auction.com,Yes,15.65,11.4,Downsizing,Yes,Emily Patel,150
151,Neww,Closed,Internal,Yes,2.54,10.5,Job Transfer,No,Sophia Williams,151
152,Accepted Offer,Cancelled,M.L.S.,No,19.94,21.41,Investor Sale,Yes,Sophia Williams,152
153,New,Kick,Opendoor,No,12.31,17.38,Job Transfer,Yes,Sophia Williams,153
154,Neww,Cancel,Internal,Yes,3.98,23.17,Investor Sale,,Samantha Pierce,154
155,Offered,Pending,Auction.com,,3.15,18.42,Job Transfer,No,Michael Chen,155
156,New,Pending, MLS,No,17.07,14.04,Investor Sale,No,Emily Patel,156
157,Offered,Always Kick,Internal,Yes,8.93,16.42,,Yes,Michael Chen,157
158,Closed,Pend,Bulk,Yes,13.0,23.52,Downsizing,No,Emily Patel,158
159,Offered,Available, MLS,,19.33,20.49,,,Jason Miller,159
160,Null,Pend,M.L.S.,Yes,11.46,12.12,Downsizing,,Luis Garcia,160
161,Closed,Null, MLS,Yes,9.02,15.72,Downsizing,No,Luis Garcia,161
162,New,Kick,Auction.com,Yes,8.06,29.81,Downsizing,Yes,David Thompson,162
163,Offered,Close, MLS,Yes,5.15,14.43,Investor Sale,No,Jason Miller,163
164, Closed,Cancelled,Opendoor,Yes,15.61,24.41,Downsizing,,Sophia Williams,164
165,Null, ,M L S,,5.95,21.03,,Yes,Priya Sharma,165
166,Closed,Kick,Bulk,No,18.33,14.67,Investor Sale,No,Amit Kumar,166
167,Null,Pending,M.L.S.,,2.7,7.92,Downsizing,,Amit Kumar,167
168,Accepted Offer,Close,Bulk,Yes,12.0,28.67,Downsizing,No,Sophia Williams,168
169, Closed,Cancelled,Internal,,9.08,9.57,Downsizing,,David Thompson,169
170,Cancelled, Close ,Bulk,No,15.92,23.16,Downsizing,No,David Thompson,170
171, Closed,Closed,M L S,Yes,4.46,19.94,Downsizing,,Jason Miller,171
172,Offered,Null, MLS,Yes,16.15,7.8,Investor Sale,No,Jason Miller,172
173,Accepted Offer,Null,Internal,Yes,3.11,10.77,Downsizing,Yes,Jessica Lin,173
174,Accepted Offer,Cancel,Internal,,8.16,14.13,Investor Sale,No,Samantha Pierce,174
175,Neww,Pend,Opendoor,No,6.36,23.75,Job Transfer,No,Jessica Lin,175
176,Null,Pend,M L S,Yes,18.07,25.09,,Yes,Samantha Pierce,176
177,Accepted Offer,Null,Bulk,No,19.86,23.16,Downsizing,,Jessica Lin,177
178,Closed,Cancelled,Broker,No,5.64,8.56,,,David Thompson,178
179, ,Pending,M L S,,5.58,19.62,,Yes,Luis Garcia,179
180,Neww, ,Opendoor,Yes,10.56,22.77,Downsizing,No,David Thompson,180
181,Neww,Available,M L S,No,12.73,27.03,Job Transfer,Yes,Sophia Williams,181
182,Cancelled,Available,Internal,No,15.54,5.35,Job Transfer,No,David Thompson,182
183,Reviewed,Closed,Broker,Yes,15.22,25.85,Downsizing,No,Sophia Williams,183
184,Cancelled,Null,Bulk,No,16.2,6.34,Investor Sale,Yes,David Thompson,184
185, Closed, ,Auction.com,No,9.45,22.71,Downsizing,Yes,Amit Kumar,185
186,Cancelled,Cancelled,M.L.S.,,12.22,21.49,,,Emily Patel,186
187,Closed,Available,Auction.com,Yes,7.37,21.86,,,Sophia Williams,187
188,Closed,Pend,Auction.com,No,12.41,14.78,Downsizing,,David Thompson,188
189,Cancelled,Pending,M L S,No,2.71,24.69,Job Transfer,Yes,Priya Sharma,189
190,Accepted Offer, ,M.L.S.,No,9.21,26.64,Investor Sale,,Sophia Williams,190
191,Closed,Close,Auction.com,,2.06,16.02,Downsizing,No,Samantha Pierce,191
192,New,Close,M.L.S.,Yes,13.94,11.29,Investor Sale,No,Emily Patel,192
193,Accepted Offer,Cancel,M.L.S.,,16.98,5.27,Investor Sale,,Jessica Lin,193
194,Reviewed,Cancelled, MLS,Yes,5.01,9.82,Downsizing,Yes,Priya Sharma,194
195, ,Kick,Broker,No,9.48,7.74,Job Transfer,,Sophia Williams,195
196,Offered,Closed,M L S,Yes,14.08,22.06,,No,Sophia Williams,196
197,New,Kick,M.L.S.,No,2.15,29.6,Downsizing,No,Samantha Pierce,197
198,Null,Cancel, MLS,,10.1,19.43,Downsizing,,David Thompson,198
199, Closed, ,Bulk,No,8.44,9.03,Job Transfer,Yes,Luis Garcia,199
200, Closed, ,Broker,Yes,19.32,28.42,Investor Sale,,Luis Garcia,200
201,Accepted Offer,Null,M.L.S.,Yes,14.87,7.85,,,Emily Patel,201
202,Cancelled,Null,M.L.S.,No,7.78,19.46,Job Transfer,No,Emily Patel,202
203,Accepted Offer,Available,Broker,Yes,10.8,13.77,Downsizing,,Amit Kumar,203
204,Accepted Offer,Null,M L S,Yes,16.9,25.13,Downsizing,Yes,David Thompson,204
205,New,Kick,M L S,No,18.98,21.16,Downsizing,No,Sophia Williams,205
206,Offered,Kick,M L S,Yes,9.41,12.65,Job Transfer,,Emily Patel,206
207,Cancelled,Kick,Broker,No,6.49,28.33,Investor Sale,,Samantha Pierce,207
208,Neww,Available,M L S,Yes,14.26,20.14,Job Transfer,,Michael Chen,208
209,Neww,Pend,Bulk,Yes,5.34,15.85,Investor Sale,,Priya Sharma,209
210, , Close ,M L S,,16.43,7.6,,,Emily Patel,210
211,Closed,Pend,Auction.com,Yes,19.25,10.28,Investor Sale,,Luis Garcia,211
212,Null, Close ,M L S,Yes,12.64,11.85,Job Transfer,Yes,Samantha Pierce,212
213,Accepted Offer,Always Kick,Bulk,Yes,2.52,17.28,Job Transfer,Yes,David Thompson,213
214,Accepted Offer,Closed,Bulk,Yes,4.7,26.79,Investor Sale,Yes,Luis Garcia,214
215,New,Null,Internal,,13.92,28.74,Job Transfer,Yes,Amit Kumar,215
216,Cancelled,Pending,Broker,,15.01,6.07,Investor Sale,No,David Thompson,216
217, ,Null, MLS,,16.62,24.93,Downsizing,Yes,Jason Miller,217
218, ,Kick,Internal,,5.71,9.31,Downsizing,,Luis Garcia,218
219,Offered,Kick,Auction.com,No,15.77,25.76,Investor Sale,No,David Thompson,219
220,Neww,Cancelled,Opendoor,No,12.94,5.29,Downsizing,Yes,Luis Garcia,220
221, ,Available,Opendoor,No,19.58,23.22,Job Transfer,,Luis Garcia,221
222, Closed,Cancel,Opendoor,Yes,14.25,10.87,,,Luis Garcia,222
223,Null,Cancelled,Bulk,No,19.07,17.62,Downsizing,,Michael Chen,223
224,Accepted Offer,Pending,Opendoor,,7.59,6.27,Investor Sale,No,Amit Kumar,224
225,Closed, Close , MLS,,6.13,8.22,Job Transfer,No,Priya Sharma,225
226,Neww,Kick,Bulk,No,6.29,29.26,,,Jason Miller,226
227,Offered,Kick,Broker,No,2.66,19.94,Downsizing,No,Samantha Pierce,227
228,Offered, ,M.L.S.,,17.14,25.16,Investor Sale,,Jessica Lin,228
229,Reviewed,Cancelled,Broker,Yes,14.26,23.71,Downsizing,No,Luis Garcia,229
230, Closed,Cancel,Bulk,Yes,8.7,24.05,Job Transfer,Yes,Luis Garcia,230
231,Reviewed,Cancelled,Auction.com,Yes,19.02,22.97,,,Samantha Pierce,231
232,Cancelled,Cancel,Auction.com,Yes,19.86,18.73,Job Transfer,,Priya Sharma,232
233,Neww, Close ,M L S,Yes,14.4,23.26,Investor Sale,No,Samantha Pierce,233
234,Neww,Close, MLS,No,19.97,9.59,Downsizing,Yes,David Thompson,234
235, ,Cancelled,Auction.com,Yes,15.2,19.6,Investor Sale,Yes,Jessica Lin,235
236,Neww,Close,Bulk,Yes,4.39,12.83,Job Transfer,Yes,David Thompson,236
237, ,Kick,Internal,,14.26,15.71,,,Priya Sharma,237
238, , ,Broker,Yes,9.96,25.65,,Yes,Luis Garcia,238
239,Offered,Cancel,Broker,No,3.19,23.27,Job Transfer,No,David Thompson,239
240,Cancelled,Kick,Internal,,14.62,17.79,Job Transfer,Yes,Emily Patel,240
241, ,Pending,M L S,No,4.57,5.08,,Yes,Luis Garcia,241
242,Reviewed,Available,Auction.com,No,9.05,27.32,Investor Sale,,Michael Chen,242
243,Reviewed,Always Kick,Broker,No,5.92,14.65,Investor Sale,,Priya Sharma,243
244,New,Cancelled,Opendoor,,9.94,23.9,Downsizing,No,Emily Patel,244
245,Accepted Offer, Close ,M L S,No,19.85,10.91,Downsizing,,Jason Miller,245
246, , , MLS,Yes,5.46,25.15,Downsizing,,Michael Chen,246
247,Offered,Null,M.L.S.,Yes,11.26,18.67,Investor Sale,No,Samantha Pierce,247
248,Accepted Offer,Pend,M L S,,2.82,22.67,Investor Sale,,Michael Chen,248
249,Closed,Kick,M.L.S.,No,18.91,11.5,Investor Sale,,Jason Miller,249
250,Neww,Cancel,M.L.S.,Yes,17.03,28.3,Job Transfer,No,Amit Kumar,250
251,Neww,Null,M.L.S.,No,3.94,13.43,Investor Sale,Yes,Sophia Williams,251
252,Closed,Available, MLS,Yes,2.41,21.6,Job Transfer,,Jessica Lin,252
253,New,Closed,Auction.com,Yes,7.65,29.06,,,Sophia Williams,253
254, Closed,Cancelled,Internal,,8.58,17.17,Investor Sale,,Jessica Lin,254
255, ,Cancel,M L S,,4.14,20.3,Investor Sale,Yes,Samantha Pierce,255
256,Reviewed,Kick,M.L.S.,,14.85,29.68,Investor Sale,No,Michael Chen,256
257,Closed, Close ,M L S,,9.93,6.82,Job Transfer,No,Jason Miller,257
258,Offered,Kick,M.L.S.,Yes,7.58,20.68,Downsizing,,Jason Miller,258
259, ,Available,Bulk,Yes,3.03,7.26,Job Transfer,Yes,Sophia Williams,259
260, Closed,Cancel,M.L.S.,,17.66,14.07,Downsizing,Yes,Michael Chen,260
261,Null,Cancel,Auction.com,No,3.64,13.54,Job Transfer,No,Sophia Williams,261
262, ,Pending,Opendoor,Yes,16.96,10.04,Investor Sale,,Sophia Williams,262
263,New,Always Kick,Internal,,6.34,24.35,Downsizing,Yes,Luis Garcia,263
264,Cancelled,Cancelled,Internal,,16.82,20.67,Investor Sale,No,Jessica Lin,264
265,New,Cancel, MLS,,19.71,6.45,Job Transfer,No,Michael Chen,265
266,Null,Null,Auction.com,No,13.23,25.39,Job Transfer,Yes,Luis Garcia,266
267,Cancelled,Closed,Bulk,,16.88,6.63,Downsizing,No,Samantha Pierce,267
268,Neww, ,Broker,Yes,4.11,27.52,Downsizing,Yes,Jason Miller,268
269,Accepted Offer,Kick,M L S,No,11.12,29.61,,Yes,Michael Chen,269
270,Cancelled,Null,M L S,No,7.58,22.25,Investor Sale,,David Thompson,270
271,Reviewed,Closed,Opendoor,No,19.96,12.23,Job Transfer,,Samantha Pierce,271
272,Cancelled,Kick,Opendoor,No,5.91,8.46,Investor Sale,,Amit Kumar,272
273,Null,Always Kick,Bulk,,3.3,18.61,Downsizing,No,Samantha Pierce,273
274,Closed,Null,M.L.S.,No,5.69,25.08,Investor Sale,,Amit Kumar,274
275,Accepted Offer,Null,Broker,Yes,13.04,18.16,Job Transfer,No,Jason Miller,275
276, Closed,Cancelled,Bulk,,18.33,7.69,Downsizing,Yes,Priya Sharma,276
277,New,Pend,Broker,,6.08,14.92,,,Priya Sharma,277
278,Neww,Available,Auction.com,No,16.11,19.38,Job Transfer,,Amit Kumar,278
279,New,Cancelled,Auction.com,No,15.21,23.09,Downsizing,,Luis Garcia,279
280,Neww, ,Bulk,No,19.11,8.46,Investor Sale,,Samantha Pierce,280
281,Offered,Pending,Bulk,No,3.34,27.28,Job Transfer,,Jason Miller,281
282,Offered,Close,M L S,No,6.38,15.21,Downsizing,,Priya Sharma,282
283,Null,Always Kick,M L S,No,11.66,18.88,Investor Sale,,Samantha Pierce,283
284,New,Pend,M L S,No,18.0,17.48,Job Transfer,,Samantha Pierce,284
285, ,Null,Bulk,,2.68,6.86,Investor Sale,,Samantha Pierce,285
286,Offered,Null,Broker,No,5.25,25.16,,,Priya Sharma,286
287,Closed,Cancel,Broker,Yes,4.1,6.52,Job Transfer,No,Sophia Williams,287
288,New,Null,M L S,Yes,14.2,27.8,Job Transfer,,Jason Miller,288
289,Offered,Kick,M.L.S.,Yes,3.64,21.29,Investor Sale,No,Sophia Williams,289
290,New,Cancel,M L S,Yes,13.12,25.55,Job Transfer,,Emily Patel,290
291,Cancelled,Cancel,Internal,Yes,10.57,22.0,,Yes,Sophia Williams,291
292,Cancelled, Close ,Bulk,,18.69,14.21,Investor Sale,No,Samantha Pierce,292
293,Cancelled,Null,Internal,,16.57,24.4,,,David Thompson,293
294,Accepted Offer,Close,Bulk,Yes,6.24,18.94,Job Transfer,Yes,Luis Garcia,294
295, Closed,Cancel,Broker,Yes,11.79,5.37,Downsizing,Yes,David Thompson,295
296,Offered,Cancel,Broker,Yes,9.25,28.38,Downsizing,No,Samantha Pierce,296
297,Accepted Offer,Available,Auction.com,Yes,14.19,15.25,Job Transfer,,Luis Garcia,297
298,Cancelled,Close,Auction.com,Yes,16.64,13.06,Downsizing,,Priya Sharma,298
299,Null,Cancel,Opendoor,,19.49,23.54,Job Transfer,Yes,David Thompson,299
300,Accepted Offer,Pend,Opendoor,Yes,15.78,21.41,Job Transfer,Yes,Samantha Pierce,300
301,New,Cancel,Internal,,19.64,28.73,Job Transfer,No,Samantha Pierce,301
302, ,Cancelled,Opendoor,Yes,9.11,19.61,Downsizing,No,Amit Kumar,302
303,Offered,Closed,Internal,No,13.13,19.8,,Yes,Samantha Pierce,303
304, Closed,Null,Internal,Yes,12.38,10.6,Downsizing,,David Thompson,304
305, Closed,Kick,M.L.S.,No,6.82,12.83,Downsizing,,Samantha Pierce,305
306,Neww,Pending,Bulk,,18.48,14.91,Investor Sale,No,Jason Miller,306
307,Reviewed,Null,Broker,No,14.77,15.54,Investor Sale,,Priya Sharma,307
308,Accepted Offer, Close ,Opendoor,Yes,2.54,27.28,Job Transfer,No,Priya Sharma,308
309, Closed,Kick,M.L.S.,No,15.04,12.89,Job Transfer,No,Emily Patel,309
310,New,Cancelled,Internal,No,17.39,29.49,Investor Sale,,Amit Kumar,310
311,Accepted Offer,Closed,Broker,No,2.03,23.29,Investor Sale,,Jason Miller,311
312,Closed,Available, MLS,No,3.91,21.11,Investor Sale,Yes,Priya Sharma,312
313,Cancelled,Cancel,Bulk,No,15.18,15.35,,No,Sophia Williams,313
314,Offered, Close , MLS,,11.33,16.42,Investor Sale,Yes,Priya Sharma,314
315,Offered,Pend,Broker,,11.44,16.35,,No,Jessica Lin,315
316,Closed,Pend, MLS,,11.79,28.8,Job Transfer,Yes,David Thompson,316
317,Neww,Pend, MLS,No,14.71,5.67,,,Amit Kumar,317
318,Closed,Available, MLS,Yes,13.67,15.16,Investor Sale,No,Jason Miller,318
319, Closed,Always Kick,M.L.S.,Yes,18.66,22.07,Investor Sale,,Samantha Pierce,319
320,Offered,Close,Auction.com,,11.62,22.63,Downsizing,No,Sophia Williams,320
321,Cancelled,Closed,Bulk,No,10.17,13.28,,,Samantha Pierce,321
322, ,Pend, MLS,,15.43,10.71,Downsizing,Yes,Sophia Williams,322
323,Accepted Offer,Pend,Bulk,,9.42,5.6,,,Sophia Williams,323
