valuation_id,property_id,List_Price,Previous_Rent,ARV,Rent_Zestimate,Low_FMR,Redfin_Value,Zestimate,Expected_Rent,High_FMR
145,60,417181,1610.0,,,,450004.0,,3367.0,3563.0
146,60,158193,1091.0,509178.0,3168.0,,,115407.0,1036.0,3961.0
147,60,461888,,125442.0,2857.0,,483391.0,,,
148,61,125596,,,938.0,,,235095.0,1755.0,
149,61,159559,,,3146.0,1927.0,136656.0,,,5461.0
150,61,193573,,,,1581.0,,,,1496.0
151,61,198742,,252991.0,,,,,2706.0,
152,62,283318,,,856.0,,424130.0,,3488.0,
153,62,128917,2221.0,382733.0,,,367254.0,,1265.0,5165.0
154,63,174476,,,,1925.0,,405598.0,,
155,63,293718,,198635.0,,,397715.0,,3135.0,3333.0
156,63,96211,,,2296.0,1877.0,,,,
157,63,181790,2745.0,505630.0,,,571766.0,,,
158,63,177252,,,,,,532906.0,,1643.0
159,64,318137,,,2945.0,,514384.0,,3265.0,
160,64,200874,,,,834.0,,282606.0,2154.0,4225.0
161,64,478898,,,2582.0,1363.0,427031.0,,,
162,65,290518,,,3946.0,,,,,4676.0
163,65,149313,2709.0,268933.0,,1589.0,440794.0,,,3480.0
164,65,145097,,,,,457457.0,420397.0,,
165,65,138810,,,3960.0,,,484668.0,,
166,66,215790,,,,,,,2722.0,4764.0
167,67,194326,,215131.0,801.0,,,,,
168,67,404939,,,,,159527.0,,3087.0,
169,67,266908,2165.0,348525.0,1771.0,,124254.0,139853.0,,
170,67,279219,,,,1492.0,257246.0,402379.0,,
171,68,135642,,104520.0,,1149.0,597976.0,465739.0,,3161.0
172,68,241521,,,,,,,1810.0,
173,68,275973,2200.0,231733.0,,,403819.0,,,
174,69,147850,2211.0,,3646.0,781.0,,,,1270.0
175,69,450710,,,,730.0,480962.0,,,
176,69,304005,2550.0,,,,,,2719.0,
177,71,118132,3180.0,,,1243.0,463498.0,,,2691.0
178,71,223579,1649.0,194669.0,2325.0,1460.0,,,,
179,71,393275,,,2248.0,,,473125.0,2898.0,
180,71,309721,3343.0,,,736.0,,269215.0,1236.0,5340.0
181,71,326520,,,1767.0,1178.0,379924.0,,2442.0,
182,72,145619,,,,1757.0,,,2022.0,
183,72,126249,1302.0,,2839.0,916.0,,,,
184,73,361455,,595840.0,3886.0,1262.0,,258136.0,1468.0,
185,74,209105,,378756.0,,,,515083.0,3380.0,
186,76,218049,1937.0,,1794.0,,,,,
187,76,430736,1334.0,,1217.0,1728.0,293747.0,301576.0,,
188,77,288228,3011.0,576784.0,3010.0,1842.0,114863.0,,,3688.0
189,77,447023,,241061.0,,1647.0,270098.0,,1304.0,
190,77,429445,,,,,,219525.0,,1849.0
191,77,351183,,,1503.0,,140642.0,,2373.0,1737.0
192,78,366831,3366.0,,3538.0,,,517502.0,,
193,78,156539,1316.0,,1394.0,,,,2593.0,
194,78,359668,3231.0,,3481.0,1618.0,,,,
195,78,317546,3263.0,,1998.0,1281.0,508881.0,,,
196,79,296587,1115.0,559885.0,,,,,,
197,79,391578,,,,,,,,
198,81,159742,,590122.0,,,345997.0,,,
199,81,340645,,,,,,,,4361.0
200,82,242849,,545539.0,,,,,3179.0,
201,82,189490,2987.0,435105.0,,,,264425.0,1667.0,4654.0
202,82,331843,,,3276.0,,,218930.0,2618.0,5247.0
203,82,169452,,,,,,,,
204,82,418709,,,,1347.0,217170.0,,3036.0,
205,83,148397,,473211.0,3456.0,,,149843.0,,
206,84,209738,,230360.0,,1940.0,455614.0,,2138.0,
207,85,150922,,,,1143.0,,,,4561.0
208,86,454189,,,,,,,,
209,86,351267,,517496.0,,902.0,,,1781.0,4353.0
210,86,116661,,398653.0,,,,142040.0,3068.0,
211,87,199368,,,,,,431711.0,2493.0,
212,87,359132,3016.0,,1065.0,1477.0,183427.0,,2678.0,
213,88,156802,,,3325.0,1195.0,,383681.0,,
214,89,144898,,,,,,469662.0,,2334.0
215,90,114293,,,,,,,2350.0,
216,90,491706,2793.0,573922.0,,930.0,281194.0,,,
217,90,284832,2316.0,509369.0,3239.0,,,,2411.0,
218,90,99286,,,,1122.0,,298453.0,,
219,91,97571,3180.0,,,,276818.0,,1759.0,
220,91,210942,,,,,,533284.0,,4914.0
221,91,492222,,,2502.0,835.0,537619.0,,2296.0,2051.0
222,91,156772,2143.0,,,,251438.0,,2363.0,
223,91,240076,,239924.0,,1252.0,,,,
224,92,175044,,548694.0,2806.0,,405433.0,411988.0,1456.0,3791.0
225,92,440711,1211.0,438088.0,,,,,,
226,92,300226,,190240.0,,,187973.0,283766.0,,
227,92,332739,1456.0,,,,,,,3678.0
228,93,479745,,120497.0,2689.0,1236.0,,454901.0,2403.0,3997.0
229,93,201737,,,,1418.0,323978.0,194259.0,2535.0,
230,94,457956,2137.0,168496.0,,,309983.0,,,3668.0
231,95,99471,,394385.0,,,,,,
232,95,317924,,369727.0,,,,429564.0,,
233,95,155741,,398750.0,1204.0,1876.0,,389846.0,,
234,95,169217,2266.0,,3199.0,,179786.0,,2325.0,2908.0
235,96,97406,,,1968.0,,581115.0,,1817.0,4851.0
236,96,359226,,,,1713.0,,,,
237,97,292528,1413.0,,3010.0,801.0,131810.0,401820.0,,
238,98,479535,,,1130.0,,489120.0,,2677.0,
239,101,289498,1095.0,,1815.0,964.0,,,,
240,101,406152,1433.0,,1957.0,,,,2731.0,
241,101,466660,,,,1133.0,370886.0,104927.0,3490.0,1371.0
242,102,109814,,,,,,,2997.0,
243,104,325244,1534.0,473392.0,1616.0,,109742.0,420650.0,,5240.0
244,104,166204,,,2547.0,1680.0,216785.0,,,2278.0
245,104,277972,932.0,,,,452338.0,,,1569.0
246,104,136334,,,,1029.0,295661.0,,3370.0,
247,104,160010,2529.0,,,,,,985.0,2590.0
248,106,166584,2015.0,,,,95117.0,,1035.0,
249,106,429738,,158671.0,,1122.0,115352.0,,,3365.0
250,106,372521,,,1121.0,,276128.0,504477.0,1282.0,
251,106,101906,1077.0,433437.0,,926.0,584524.0,,2452.0,
252,107,471642,3354.0,134335.0,,,,421132.0,,5087.0
253,107,240684,,,,,429699.0,,,
254,107,215122,,394487.0,,,,321668.0,941.0,3493.0
255,107,155398,,305407.0,,1550.0,,,2410.0,
256,107,438392,,,,1260.0,446834.0,496723.0,,
257,108,455748,,,,,229481.0,247197.0,,
258,108,293575,3439.0,,,764.0,,,,2366.0
259,108,276075,1939.0,,3778.0,1170.0,,,,4031.0
260,109,339821,,217062.0,,,387121.0,320978.0,2767.0,3703.0
261,110,315795,3442.0,350961.0,,,,,,
262,110,342478,,221388.0,,,,474974.0,1157.0,1341.0
263,110,308630,1367.0,,2257.0,1142.0,524971.0,,2532.0,
264,110,406767,,220586.0,,774.0,,213284.0,2558.0,
265,111,240969,,,2989.0,923.0,,,,
266,111,327010,1629.0,,,1842.0,,268499.0,,
267,111,467959,,,,,,251492.0,1358.0,
268,112,323393,,452274.0,,,,295826.0,,
269,113,219102,2392.0,,,,361606.0,,,
270,113,223743,,,,,,,,
271,113,385337,,,,,491318.0,,2208.0,
272,113,368395,3006.0,,,1154.0,,,,
273,113,183448,,302531.0,,1829.0,,177898.0,1239.0,5243.0
274,114,288333,,579415.0,,1256.0,180320.0,223725.0,,1887.0
275,116,394372,2340.0,,3895.0,1039.0,,356131.0,,
276,117,265277,,,,,,176806.0,,1301.0
277,117,110862,1224.0,201652.0,,,,,1219.0,
278,117,114940,,197889.0,2946.0,,507173.0,,,
279,117,394830,,,,982.0,542135.0,433878.0,2722.0,
280,117,236073,1073.0,,,1125.0,,,,
281,118,399729,3216.0,525285.0,2950.0,,,515261.0,,
282,118,284713,,,2937.0,,,,,
283,118,364871,2298.0,226286.0,3141.0,,,,,3337.0
284,118,99368,1871.0,,,,116780.0,,,
285,119,143466,,257793.0,2657.0,,,,1225.0,5367.0
286,119,468863,2500.0,,3824.0,836.0,,,,
287,120,294701,,,,,177540.0,,3369.0,
288,120,224128,3180.0,143158.0,,,552356.0,,,
289,120,228397,,,2161.0,1498.0,507194.0,,,
290,121,197651,1695.0,486908.0,,,248944.0,543362.0,2390.0,1638.0
291,122,150749,,,,912.0,,277951.0,2553.0,4716.0
292,122,129575,,493595.0,3299.0,1196.0,,273353.0,,
293,123,134359,2451.0,,,,,,,
294,123,377348,,195793.0,,,,,,
295,123,498970,,274663.0,,,,,1712.0,
296,124,172998,,,,,,,,
297,125,454412,,535053.0,3279.0,903.0,520560.0,324270.0,1051.0,
298,125,190661,,,1367.0,,494443.0,504793.0,,
299,125,374145,,328547.0,2441.0,1601.0,158837.0,,,1437.0
300,125,299141,1480.0,485693.0,,,181129.0,,,
301,126,242803,,,3729.0,,408816.0,,2166.0,3021.0
302,126,460790,,,,1870.0,,460502.0,2637.0,
303,126,182311,,,,1677.0,,,,5118.0
304,127,401727,,,1886.0,,,533957.0,,4905.0
305,128,369598,,,1289.0,,,,,
306,129,146395,804.0,,2550.0,1092.0,472970.0,,2216.0,2563.0
307,129,157005,3121.0,,1042.0,,,,,
308,130,188249,2853.0,325334.0,3917.0,,,,1259.0,
309,132,316653,1504.0,,,1922.0,,201798.0,2327.0,
310,133,233498,,,,,,278262.0,,4729.0
311,133,182243,1362.0,,,1005.0,,,1021.0,
312,133,127294,,441600.0,893.0,1999.0,,438871.0,,4661.0
313,133,404193,3217.0,125790.0,3565.0,,590853.0,,2444.0,
314,134,108268,,,,,406389.0,237877.0,1207.0,
315,134,308606,,,804.0,1941.0,,,2265.0,1969.0
316,135,172572,1308.0,,,,163399.0,,,
317,135,91188,,184786.0,3898.0,,,156735.0,2314.0,3363.0
318,135,489977,,327536.0,1133.0,,,,,3557.0
319,135,190701,,277387.0,,1759.0,,,,1498.0
320,136,223149,,468361.0,,1356.0,,,,
321,136,203333,,,3266.0,1293.0,,,,5479.0
322,136,261685,,,,1119.0,383158.0,,,
323,137,298314,1723.0,,1371.0,,328336.0,,2606.0,
324,138,434036,,,,1412.0,,,1614.0,
325,138,346012,,,1327.0,1325.0,196824.0,425421.0,,
326,139,407708,3334.0,,2710.0,1421.0,101195.0,,2844.0,2899.0
327,140,311811,1860.0,,1074.0,,,458756.0,,3523.0
328,140,316716,,,1226.0,,342322.0,,,3138.0
329,140,180532,,,3773.0,1503.0,,,,
330,140,434843,2552.0,,,,226612.0,,2377.0,
331,140,227643,,425617.0,3423.0,,,437398.0,3273.0,1459.0
332,143,154980,1452.0,,,,,274708.0,,5298.0
333,143,150381,1857.0,,2199.0,,271299.0,227576.0,1206.0,1243.0
334,143,335730,,,,1358.0,,,,
335,143,381325,,461977.0,,1549.0,,,,5009.0
336,145,210420,2438.0,265507.0,,,,,,1622.0
337,146,97514,,,3343.0,,,426851.0,2547.0,
338,146,108100,,387989.0,,,,,1662.0,
339,146,469386,,,,734.0,,409947.0,1349.0,4909.0
340,146,466293,1836.0,,,,,,,
341,146,481024,,,,1835.0,,462910.0,,
342,147,315649,1281.0,305518.0,,,,,,
343,147,390865,,,3908.0,,593371.0,,3437.0,
344,147,284248,,462676.0,,1896.0,,384447.0,1920.0,
345,147,327260,2504.0,,,1455.0,150114.0,,2479.0,
346,147,282449,,,1505.0,1327.0,453732.0,,,4451.0
347,148,303365,3056.0,535042.0,,,,233565.0,3110.0,
348,148,497046,,,2889.0,,,,3088.0,
349,149,267812,,,,,447607.0,101248.0,,
350,149,112753,,128389.0,3805.0,942.0,,,1354.0,3117.0
351,150,263432,2707.0,155567.0,,1186.0,263188.0,,2082.0,
352,150,252218,,534027.0,2164.0,,468292.0,173370.0,,
353,150,262758,,452942.0,,1703.0,,,,
354,152,261281,3368.0,181126.0,2621.0,1194.0,207926.0,,,
355,152,172735,,,,,,251642.0,3193.0,1206.0
356,153,415635,2892.0,,1014.0,1825.0,262377.0,,,4449.0
357,154,236181,3369.0,,,,,,941.0,
358,154,409703,1240.0,,1712.0,,451969.0,,,
359,155,370379,,174531.0,,1765.0,308974.0,259533.0,,3030.0
360,155,440229,2011.0,,3455.0,,,,3468.0,
361,156,98275,,,2276.0,,,,,
362,156,464548,,413001.0,3981.0,,,,,
363,156,106428,,545310.0,,,,515343.0,,
364,156,316132,1939.0,,1177.0,,454680.0,,2943.0,
365,157,233422,,,1056.0,,150800.0,,,
366,157,434475,,,,1353.0,471604.0,,2158.0,1794.0
367,157,423868,1956.0,,,1890.0,,,2733.0,3536.0
368,158,156539,,,,1942.0,,,,4798.0
369,158,450327,3283.0,158270.0,,1903.0,270882.0,,2727.0,
370,158,391547,,543613.0,2936.0,,515703.0,,1886.0,
371,158,197861,2294.0,538762.0,3187.0,1917.0,528621.0,,3097.0,
372,160,258710,,,,,528838.0,,,
373,160,243078,2489.0,,,988.0,,,,4692.0
374,163,271784,,,,,575985.0,335364.0,,
375,163,283568,1343.0,,1668.0,1523.0,,,,
376,163,422021,,,,,457043.0,319592.0,2223.0,1343.0
377,163,152674,1388.0,,,,,170067.0,,4401.0
378,164,144272,,573723.0,1245.0,1084.0,567739.0,,3098.0,5422.0
379,164,394963,,,,,326512.0,251362.0,2913.0,
380,164,334300,,,834.0,1649.0,362749.0,130799.0,,
381,164,160707,,111932.0,,1068.0,385063.0,,,1294.0
382,166,229173,,,,,377439.0,,1145.0,
383,166,402099,,,1556.0,,,,3415.0,4955.0
384,166,195142,,,,1394.0,,,,
385,167,407218,,,,,,,1724.0,
386,167,352076,2110.0,,,,,,,
387,167,259584,1619.0,,,,260839.0,,,1725.0
388,168,138390,,,2236.0,1195.0,,,,5163.0
389,168,442618,,415597.0,2397.0,,,435523.0,905.0,
390,168,491922,,,,,,527015.0,1020.0,5022.0
391,169,220328,1428.0,,1961.0,,,,3285.0,
392,169,467742,2724.0,,,,473920.0,,,4466.0
393,170,238795,,,,794.0,,,1361.0,
394,170,478287,864.0,513569.0,,,146718.0,501474.0,,
395,170,333969,2525.0,108692.0,3911.0,715.0,,308581.0,3078.0,1107.0
396,172,246275,,143719.0,,1773.0,,,,
397,172,468481,1696.0,577152.0,,,,,,
398,172,356473,,,1560.0,1915.0,,,,2813.0
399,172,177682,,509402.0,,,,375189.0,,
400,174,129629,,,3446.0,,,277231.0,,4082.0
401,174,266962,1328.0,105435.0,,1733.0,,,,
402,174,246366,1138.0,,,1566.0,121148.0,388258.0,,
403,175,115812,,,,1889.0,,,,
404,176,339383,1899.0,594842.0,,,500363.0,,,
405,177,271822,,416351.0,,,,,2044.0,5034.0
406,177,279950,,166851.0,2806.0,,505390.0,,,4693.0
407,177,483314,,382045.0,,,,,1751.0,2634.0
408,177,207814,,183758.0,,,,,,5053.0
409,178,367553,,435601.0,,,296510.0,,2866.0,4353.0
410,178,494140,,,,1993.0,334027.0,,2565.0,2510.0
411,178,228164,,,,,,,,
412,180,497077,,458914.0,,,,,2982.0,
413,180,203919,,,2002.0,,548877.0,,2057.0,
414,181,439385,2477.0,540923.0,2243.0,,500024.0,358071.0,3316.0,2147.0
415,181,468009,2922.0,,,802.0,577209.0,466342.0,,2622.0
416,181,105355,,,,1940.0,,,,
417,182,225970,,314339.0,1467.0,,417927.0,412916.0,,
418,182,212664,,,1728.0,1880.0,383195.0,,1586.0,5074.0
419,183,205727,3277.0,499214.0,,,,281017.0,1261.0,
420,183,476623,,,,1127.0,,,,
421,183,289752,,162272.0,2532.0,1811.0,473342.0,,,
422,183,410254,3162.0,,,1853.0,,,3267.0,
423,184,273357,2768.0,198432.0,3937.0,,,,,
424,186,329792,3383.0,,,,558652.0,,,1544.0
425,186,296126,,,,,582113.0,,,
426,186,209016,,,,,,,,
427,187,301825,,345647.0,2499.0,,199627.0,479764.0,2172.0,2223.0
428,187,200358,,,2506.0,,140275.0,309492.0,1348.0,
429,188,385500,,341091.0,,,184361.0,,936.0,
430,189,302442,2148.0,,2855.0,1703.0,102832.0,357058.0,1391.0,
431,189,281497,,,3172.0,,163127.0,,3338.0,4582.0
432,189,259174,,,,,,,985.0,1405.0
433,189,381633,,,936.0,967.0,105415.0,,1944.0,
434,190,379262,,,3021.0,,,174899.0,,
435,190,279369,,587214.0,,,,540444.0,2585.0,
436,191,240437,2585.0,,,,,181605.0,3285.0,
437,192,148709,,,3220.0,925.0,,,,
438,192,171333,1703.0,,,,,,,3709.0
439,193,292994,3283.0,576920.0,3018.0,1113.0,,362364.0,,
440,194,326111,,252647.0,,,,362261.0,,4652.0
441,195,155507,,,2636.0,1112.0,238439.0,,1374.0,
442,196,101157,,,,1671.0,459940.0,,1924.0,4746.0
443,196,433839,,,,1651.0,524387.0,,1658.0,2162.0
444,196,471227,908.0,403864.0,,,,,,
445,197,140043,1277.0,,1535.0,,,,,
446,198,167069,2988.0,,,,,,,2004.0
447,198,222080,,,3894.0,1915.0,,,2461.0,
448,199,173691,,,,1702.0,,446761.0,,
449,199,325391,,,3152.0,,181732.0,,,2334.0
450,199,253003,,,2631.0,,249928.0,,2145.0,3758.0
451,200,428834,,,,707.0,,119073.0,3297.0,2281.0
452,200,383531,2749.0,,1141.0,877.0,,,,
453,200,383620,,,,,,513798.0,,4039.0
454,200,151900,,336065.0,,1248.0,,,,1731.0
455,200,146066,1609.0,,2574.0,,,,,
456,203,313141,1131.0,,956.0,,,300314.0,,
457,203,356909,,,,,,195505.0,2979.0,1419.0
458,203,303124,,,3277.0,,,,,1887.0
459,204,426474,1499.0,,,716.0,,,2809.0,2276.0
460,204,169201,3115.0,537407.0,2105.0,,,113877.0,,5156.0
461,205,312043,2746.0,,3274.0,,,133653.0,,
462,205,216242,1929.0,567666.0,2013.0,,,,3383.0,
463,207,145507,,203813.0,,,595081.0,391387.0,1483.0,
464,207,350538,,,,,,,,
465,208,401929,,,811.0,,,,2540.0,
466,208,328619,,489158.0,,,287808.0,285216.0,2251.0,4972.0
467,208,215327,,134070.0,2918.0,,,,,4007.0
468,208,310200,1038.0,137253.0,3517.0,1361.0,,,,
469,209,487307,,,,,254286.0,375262.0,,4731.0
470,209,408464,3270.0,,,,128177.0,,,
471,209,199763,,,3648.0,920.0,,,,
472,209,248521,1798.0,366354.0,,,,,1908.0,
473,210,150140,,,,728.0,398932.0,329060.0,2567.0,2085.0
474,211,158055,,,,,442376.0,,2306.0,
475,211,194977,,,,,,,1930.0,
476,211,388342,1354.0,,,,316252.0,,3002.0,4485.0
477,212,470151,,,,1650.0,375875.0,,,
478,213,265503,1985.0,,1575.0,,,271045.0,2807.0,
479,213,192367,,572327.0,1184.0,,,279287.0,1058.0,
480,213,93078,1626.0,,,,577741.0,,2043.0,
481,213,295675,2195.0,278639.0,3645.0,,259489.0,336653.0,2955.0,4110.0
482,214,181881,3298.0,,,1548.0,,,,
483,214,344765,3277.0,,,,,,3144.0,
484,214,371705,2895.0,322596.0,,,431994.0,230843.0,3309.0,
485,214,372014,,,,,254454.0,,,5248.0
486,214,369254,1953.0,,,,472700.0,,2489.0,
487,215,292583,,,,709.0,,,2154.0,4510.0
488,215,268606,1896.0,102340.0,3829.0,,,,,1111.0
489,215,200451,,,,1340.0,158601.0,524182.0,,
490,217,454873,,,,,,,1635.0,
491,217,361531,2895.0,,,,389535.0,,1292.0,
492,217,218980,2724.0,,,1818.0,432294.0,,,2355.0
493,217,120022,2941.0,,,,265968.0,227742.0,3064.0,
494,218,319380,2957.0,,,1898.0,327129.0,281577.0,2457.0,
495,218,351753,2335.0,325080.0,,,358145.0,374398.0,1955.0,3698.0
496,218,297145,,,,1880.0,,,,
497,218,425910,,467128.0,,1670.0,,532260.0,,2537.0
498,218,100237,1353.0,112481.0,1596.0,,,,,2955.0
499,219,325117,,,,,196733.0,,,
500,219,368615,,,,,,,,
501,219,313899,,,3311.0,,243542.0,,,
502,219,346449,3216.0,455979.0,,,,,,
