rehab_id,property_id,Underwriting_Rehab,Rehab_Calculation,Paint,Flooring_Flag,Foundation_Flag,Roof_Flag,HVAC_Flag,Kitchen_Flag,Bathroom_Flag,Appliances_Flag,Windows_Flag,Landscaping_Flag,Trashout_Flag
62,30,76257,11206,Yes,Yes,,Yes,No,,No,,,Yes,No
63,31,31974,3015,,,No,Yes,No,,,No,,,No
64,32,10843,97903,Yes,No,,No,,Yes,No,Yes,No,No,Yes
65,32,30766,85257,Yes,Yes,No,,,,Yes,Yes,Yes,Yes,No
66,33,92062,113,No,No,,Yes,,,No,Yes,,,No
67,33,28335,13484,No,Yes,Yes,,No,No,Yes,Yes,,Yes,Yes
68,34,42997,37333,Yes,No,No,No,Yes,No,No,Yes,No,,No
69,34,92063,47814,No,Yes,Yes,,No,,Yes,,No,Yes,No
70,34,58775,97944,No,No,Yes,No,,,No,No,Yes,No,No
71,35,30432,64380,Yes,,,Yes,Yes,No,,,,No,
72,35,84528,54739,No,Yes,,No,Yes,Yes,,,,,No
73,36,45205,78473,No,,Yes,Yes,Yes,No,,,Yes,,Yes
74,36,33096,83901,No,No,Yes,Yes,Yes,No,,,Yes,No,
75,36,71148,46468,No,Yes,No,Yes,,Yes,No,Yes,No,No,Yes
76,37,15151,69050,,No,No,,No,No,,No,,,
77,37,42635,34768,No,,No,,Yes,,Yes,No,,,No
78,37,66154,62550,No,,,,,,,,,Yes,No
79,38,15997,42175,No,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,Yes
80,38,30000,60426,Yes,No,No,,,Yes,Yes,Yes,,,Yes
81,38,86260,34181,Yes,Yes,No,,Yes,Yes,,,No,Yes,Yes
82,39,3704,88752,Yes,Yes,Yes,,No,Yes,,,No,No,Yes
83,39,70850,77471,No,Yes,Yes,No,,No,No,Yes,Yes,Yes,Yes
84,40,37286,62054,No,No,Yes,No,Yes,Yes,,,,No,
85,41,32879,73938,,,,,No,,No,,Yes,Yes,Yes
86,41,71287,99196,,,,,,,No,No,Yes,Yes,No
87,41,5758,78207,Yes,Yes,,,Yes,Yes,No,,,Yes,No
88,42,71991,14606,Yes,No,,No,No,Yes,No,,Yes,No,No
89,42,19143,58193,No,Yes,,,Yes,Yes,,No,No,Yes,Yes
90,43,78707,65209,Yes,,,No,No,No,,No,Yes,No,
91,43,16228,8656,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
92,44,88093,9615,Yes,No,Yes,Yes,,No,Yes,Yes,Yes,Yes,Yes
93,44,835,47702,No,,,,,Yes,,,,Yes,No
94,45,36046,32472,Yes,,,No,,,Yes,Yes,,No,Yes
95,45,63418,11414,,No,No,No,Yes,No,Yes,Yes,Yes,,No
96,46,51470,52187,,Yes,,No,No,No,Yes,Yes,,,Yes
97,46,57167,54733,Yes,,No,Yes,,No,Yes,Yes,,Yes,No
98,47,13160,93357,,Yes,Yes,No,,,,,Yes,Yes,Yes
99,47,75009,94305,,,,No,Yes,No,No,No,Yes,Yes,Yes
100,47,82056,66641,,,Yes,Yes,,,,No,,,
101,48,42058,29234,No,Yes,,,,,,,No,,
102,48,46299,27030,,No,Yes,,No,Yes,Yes,,Yes,,Yes
103,49,86810,27488,No,Yes,,Yes,No,No,,,,,
104,49,31149,34972,,,,Yes,Yes,No,,No,No,No,No
105,49,82366,33713,Yes,,No,Yes,,No,,,,No,No
106,50,3872,3427,Yes,No,Yes,No,No,Yes,No,,Yes,,No
107,50,17249,16279,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
108,50,55333,27316,No,Yes,No,,Yes,Yes,No,Yes,,,
109,51,69539,62315,,Yes,Yes,Yes,Yes,No,No,No,Yes,,Yes
110,51,15310,75430,Yes,,,Yes,No,,,No,Yes,No,
111,52,82012,49057,No,No,Yes,Yes,No,No,Yes,Yes,,No,
112,53,44353,84412,Yes,Yes,Yes,Yes,,,No,No,Yes,No,Yes
113,54,14460,22473,,,No,No,Yes,Yes,No,,Yes,No,
114,54,73238,81900,Yes,Yes,Yes,,No,Yes,Yes,,Yes,Yes,Yes
115,54,71278,5247,No,Yes,No,,No,Yes,Yes,Yes,,,No
116,55,11280,38641,,No,No,,No,,Yes,No,Yes,No,Yes
117,56,45489,72075,No,,,,No,Yes,,No,No,Yes,Yes
118,56,97640,21003,No,,Yes,,,,No,Yes,No,No,
119,56,38922,91982,,No,Yes,Yes,No,No,,,Yes,,Yes
120,57,9262,94558,,No,,,,No,Yes,No,No,No,
121,57,44138,52946,Yes,Yes,Yes,,Yes,,,No,,No,Yes
122,57,69383,55821,No,,,,Yes,Yes,Yes,,,,
123,58,87878,64799,,Yes,Yes,,No,No,No,Yes,,Yes,Yes
124,59,88234,52109,,Yes,Yes,Yes,No,Yes,No,No,No,No,
125,60,41425,66835,,Yes,,Yes,,No,,Yes,Yes,No,Yes
126,60,85397,63367,Yes,Yes,,No,Yes,No,Yes,Yes,Yes,Yes,No
127,60,8324,42594,No,,Yes,Yes,,,No,,Yes,,No
128,61,8882,23354,Yes,Yes,Yes,,Yes,Yes,,,No,No,Yes
129,61,45220,49383,No,No,,,Yes,,Yes,No,Yes,Yes,No
130,62,92548,87865,Yes,No,Yes,Yes,No,No,,Yes,,,No
131,63,23264,77947,No,No,Yes,No,,Yes,,No,Yes,Yes,No
132,64,82832,1441,,Yes,,Yes,Yes,No,,Yes,,No,No
133,64,62552,62016,No,,,,Yes,No,No,Yes,,Yes,Yes
134,65,4607,35757,No,,,Yes,Yes,No,,,Yes,No,Yes
135,66,92800,2908,Yes,No,No,No,,,,No,No,,Yes
136,67,36138,80035,Yes,No,,Yes,No,,Yes,Yes,,Yes,No
137,68,74453,84410,,,Yes,No,Yes,No,Yes,Yes,,No,
138,69,46893,63984,,Yes,,Yes,Yes,Yes,No,,,No,Yes
139,69,35280,33769,No,Yes,No,Yes,,No,Yes,No,,Yes,No
140,69,49067,28804,,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,
141,70,61913,22879,Yes,No,Yes,No,,No,,Yes,,,Yes
142,71,74442,51628,,Yes,Yes,,,Yes,No,,No,,
143,72,52799,65543,Yes,Yes,No,No,Yes,Yes,,Yes,No,Yes,No
144,72,81041,32410,No,,,No,,Yes,No,,No,No,Yes
145,72,8153,89986,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
146,73,89966,52632,Yes,,No,Yes,No,,Yes,No,No,No,Yes
147,73,99795,65817,,,Yes,,Yes,Yes,,No,,,
148,73,44837,97956,No,Yes,,No,Yes,No,Yes,Yes,Yes,No,
149,74,88647,56500,Yes,No,Yes,No,,No,,No,No,,No
150,75,24000,36345,Yes,,Yes,,Yes,,,,Yes,No,No
151,75,2553,1082,,Yes,,No,Yes,Yes,Yes,,No,No,Yes
152,75,39645,22094,Yes,Yes,No,Yes,,No,Yes,,Yes,,No
153,76,63006,70651,,Yes,,No,,No,Yes,No,No,,No
154,77,11657,43109,,Yes,,No,Yes,No,Yes,,,,No
155,77,48377,90081,,No,,No,No,Yes,No,No,No,,Yes
156,77,25906,68446,,,Yes,No,Yes,Yes,No,,,Yes,No
157,78,87254,1818,,,Yes,No,,Yes,No,No,No,No,No
158,78,82284,73363,,Yes,Yes,No,,,,No,Yes,No,Yes
159,79,59559,63677,,Yes,,Yes,Yes,No,No,Yes,Yes,No,Yes
160,79,67851,81428,,,Yes,No,Yes,Yes,,Yes,,,
161,80,62457,17274,,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,No
162,80,22815,53815,No,No,Yes,,,No,Yes,No,No,Yes,Yes
163,81,2166,31388,Yes,,No,No,Yes,,No,No,Yes,,
164,82,70936,17828,No,No,,,No,Yes,No,,Yes,,No
165,83,40066,89734,Yes,No,No,Yes,Yes,,Yes,Yes,No,No,
166,84,31643,39592,Yes,,Yes,No,Yes,Yes,No,Yes,No,Yes,
167,85,1035,968,,No,Yes,No,No,No,Yes,,,Yes,Yes
168,85,4324,24350,Yes,No,No,No,,,,No,,Yes,No
169,85,74550,10557,Yes,Yes,,Yes,No,No,Yes,,Yes,Yes,Yes
170,86,86397,1173,No,Yes,,,Yes,,,,,,
171,86,14137,14305,,,No,,Yes,,,,,Yes,Yes
172,86,58043,65404,No,,No,No,,Yes,Yes,Yes,Yes,,
173,87,40791,27454,Yes,,Yes,No,,Yes,,Yes,Yes,Yes,
174,87,29291,46532,No,Yes,No,Yes,,Yes,Yes,Yes,,,Yes
175,88,9642,35780,Yes,Yes,No,No,,No,Yes,,,,No
176,88,21234,37191,No,,Yes,Yes,Yes,Yes,Yes,No,,,No
177,88,18933,49435,No,No,,Yes,Yes,,No,Yes,,,Yes
178,89,45448,90903,No,Yes,,Yes,No,Yes,Yes,,Yes,,No
179,90,44581,84494,No,,Yes,Yes,,No,Yes,,No,Yes,
180,90,66656,10628,Yes,Yes,No,,,Yes,No,Yes,No,Yes,Yes
181,90,82399,14866,,Yes,,Yes,No,,Yes,No,Yes,No,Yes
182,91,21460,23816,Yes,Yes,,,,No,,No,,No,Yes
183,92,66799,42690,No,No,,Yes,Yes,No,Yes,No,No,No,No
184,92,7676,72747,No,No,,,No,,Yes,Yes,No,Yes,No
185,92,2022,15622,,Yes,,Yes,Yes,,No,No,Yes,,Yes
186,93,66423,56774,No,,No,No,Yes,,,,Yes,Yes,Yes
187,94,99707,99727,Yes,No,,,,,Yes,,No,,No
188,94,13880,83900,No,Yes,,Yes,,Yes,No,Yes,Yes,No,
189,94,45704,72286,,Yes,No,,Yes,Yes,Yes,Yes,,No,No
190,95,9787,96899,,No,Yes,,No,Yes,,No,,,Yes
191,95,78272,31357,No,Yes,,Yes,Yes,No,,,No,No,Yes
192,96,64919,25347,No,Yes,,Yes,No,No,,No,No,Yes,
193,96,4544,76457,Yes,Yes,Yes,No,No,Yes,,,No,,Yes
194,96,39798,47661,Yes,Yes,No,No,Yes,No,No,,,Yes,No
195,97,95342,45493,No,No,,,Yes,,Yes,No,,,
196,97,26412,62750,Yes,No,No,No,,No,Yes,,,,No
197,97,75693,48599,Yes,Yes,No,,Yes,,,Yes,,,No
198,98,39696,5128,,No,,,,,Yes,,No,Yes,Yes
199,98,48137,53826,Yes,No,Yes,Yes,,Yes,No,Yes,Yes,,Yes
200,99,20701,51808,No,Yes,,,,No,No,Yes,,Yes,Yes
201,99,62705,42979,,No,,Yes,Yes,Yes,No,,,Yes,
202,99,98800,22205,,No,No,,Yes,,No,No,No,Yes,Yes
203,100,62702,45883,Yes,Yes,No,,,,,Yes,No,No,No
204,100,29036,68935,Yes,Yes,No,Yes,,Yes,,No,No,No,No
205,101,74732,75832,No,No,,,No,Yes,,Yes,No,,Yes
206,101,67354,66118,No,No,No,,,,Yes,,Yes,No,No
207,102,81672,54945,No,,No,No,No,,,No,No,Yes,Yes
208,102,83189,3398,,,,No,No,,,No,No,No,No
209,103,8191,30837,Yes,,,,Yes,,No,No,,No,No
210,103,48595,21773,No,Yes,No,No,,No,No,Yes,,,Yes
211,104,57401,31976,Yes,No,No,,No,No,,No,,Yes,No
212,104,16747,55233,No,No,No,Yes,Yes,No,No,Yes,No,No,
213,104,39469,50363,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
214,105,72860,89216,,No,No,No,No,Yes,Yes,Yes,,No,Yes
215,105,25959,41946,Yes,Yes,,No,No,,No,Yes,,,No
216,106,27127,35345,No,Yes,Yes,No,Yes,Yes,Yes,Yes,,No,No
217,106,79357,77296,,,No,No,No,Yes,,,No,No,No
218,107,52386,19920,,,Yes,,Yes,Yes,,,,Yes,Yes
219,107,29626,40317,No,No,Yes,No,,No,,No,,,Yes
220,107,77010,43110,No,No,,,No,,Yes,Yes,,No,No
221,108,64464,99731,,,No,No,,,,,,Yes,No
222,108,30119,71288,No,,No,Yes,No,Yes,No,,Yes,No,Yes
223,109,46844,38554,,No,Yes,No,Yes,,,,No,Yes,
224,109,15238,19312,Yes,,,No,No,No,,,No,Yes,Yes
225,109,93333,82586,No,Yes,,No,No,Yes,No,Yes,Yes,Yes,
226,110,93130,91541,Yes,No,No,No,,No,Yes,,Yes,,Yes
227,110,73455,7191,Yes,,Yes,Yes,No,Yes,Yes,,Yes,Yes,Yes
228,110,52110,88159,,No,Yes,No,No,No,Yes,No,No,Yes,Yes
229,111,94156,44428,,Yes,Yes,No,No,,No,No,,Yes,No
230,112,73783,35329,Yes,No,,No,,No,,No,,,Yes
231,113,92581,77684,Yes,Yes,No,Yes,,,Yes,,Yes,Yes,No
232,113,48295,40611,No,Yes,,No,No,,Yes,,Yes,,Yes
233,114,84621,57779,Yes,,,,Yes,No,Yes,Yes,Yes,Yes,No
234,114,81442,20864,Yes,,,No,Yes,No,,No,Yes,No,No
235,115,23939,23373,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,
236,116,76288,30292,,Yes,Yes,,,,,,No,,No
237,116,21978,84932,,No,No,,Yes,Yes,No,,No,Yes,No
238,116,51562,25346,Yes,Yes,Yes,No,,No,No,No,Yes,No,
239,117,99849,6385,Yes,No,Yes,No,Yes,No,No,Yes,Yes,,Yes
240,117,57775,78699,Yes,Yes,No,,No,No,No,,Yes,No,
241,117,72804,7528,,No,No,Yes,,Yes,Yes,,Yes,,Yes
242,118,89785,81198,No,Yes,No,,,Yes,No,,,Yes,No
243,118,30319,95238,Yes,,No,Yes,,Yes,No,Yes,No,,No
244,119,63389,28531,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes
245,119,24095,55344,No,Yes,Yes,Yes,,,No,Yes,,Yes,
246,120,65300,64756,Yes,,,,,Yes,Yes,Yes,No,,
247,120,41966,32277,Yes,No,No,Yes,Yes,,No,,,Yes,Yes
248,121,84178,81158,No,,Yes,Yes,Yes,No,Yes,No,,No,Yes
249,122,33844,68469,Yes,,No,No,Yes,,,No,No,Yes,No
250,123,55972,46797,No,Yes,Yes,No,,No,No,Yes,No,,No
251,123,61714,75530,,No,No,,Yes,,No,Yes,Yes,Yes,No
252,124,85903,88041,,,,,No,No,No,No,,Yes,
253,125,58983,33469,No,,,No,,No,No,,Yes,Yes,
254,125,51702,45061,No,,,No,Yes,Yes,No,,No,Yes,
255,126,14906,58919,,Yes,No,No,No,Yes,,,Yes,Yes,No
256,126,46037,49502,,No,Yes,,No,,Yes,,Yes,Yes,Yes
257,127,61018,24571,No,,No,,No,Yes,,No,,Yes,No
258,128,55646,98536,,Yes,,No,,No,No,No,Yes,Yes,No
259,128,78095,21707,Yes,,Yes,No,,No,Yes,Yes,No,No,No
260,129,66352,88803,,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
261,129,98549,66272,,,No,Yes,Yes,,No,Yes,No,Yes,No
262,130,54753,5201,No,Yes,,,Yes,Yes,No,,No,No,No
263,130,63184,36979,No,Yes,No,Yes,Yes,,,,,No,
264,130,31596,31924,Yes,No,Yes,No,Yes,,,Yes,No,Yes,No
265,131,83001,91904,Yes,Yes,Yes,,,,,No,No,No,No
266,131,54423,51968,No,No,Yes,,Yes,No,Yes,No,,No,No
267,131,90083,49749,No,Yes,,Yes,,Yes,,No,,Yes,No
268,132,50102,24323,,,,Yes,No,No,,Yes,,,
269,132,40499,30957,No,No,Yes,Yes,,Yes,,No,No,No,Yes
270,133,58580,68603,Yes,No,,Yes,No,Yes,,Yes,,Yes,
271,134,52817,3912,Yes,,Yes,Yes,No,,No,Yes,Yes,No,No
272,135,2134,25779,,,No,,No,Yes,,,Yes,Yes,No
273,135,74268,62056,,No,No,No,No,Yes,Yes,,Yes,No,Yes
274,135,25572,73295,Yes,No,Yes,,Yes,Yes,,,,,
275,136,28603,74815,,,No,,No,Yes,No,Yes,Yes,,No
276,136,16644,60947,,,No,,,Yes,Yes,,Yes,,No
277,136,71311,57745,,No,No,,,Yes,,Yes,,No,
278,137,34096,29087,No,No,,No,,,Yes,,No,,No
279,138,25201,8958,,No,,,No,,No,Yes,Yes,,Yes
280,139,7115,16711,No,Yes,,,,Yes,,No,Yes,No,Yes
281,140,87347,80050,Yes,Yes,,Yes,Yes,,No,Yes,,Yes,No
282,140,20487,73501,,No,,No,,,No,Yes,Yes,Yes,
283,141,97704,81775,Yes,,,Yes,Yes,,,,,,No
284,141,93820,82516,,Yes,No,No,No,No,,No,,Yes,
285,141,54370,1278,No,,,Yes,,Yes,No,Yes,,Yes,
286,142,12241,22821,,,,No,Yes,No,,Yes,Yes,No,
287,143,50204,90060,,,Yes,No,No,,Yes,No,No,No,No
288,144,12515,21327,Yes,No,,,Yes,,No,,No,No,No
289,144,44051,14409,No,Yes,Yes,,,,No,,,Yes,No
290,145,99456,91576,No,,Yes,Yes,Yes,Yes,No,,,Yes,
291,146,95760,66355,Yes,Yes,,,,No,No,No,No,Yes,
292,147,10444,41648,,No,Yes,Yes,,No,No,No,,,No
293,148,84981,84057,Yes,No,No,,No,,No,Yes,No,Yes,No
294,149,40076,7353,,,Yes,No,,No,Yes,No,Yes,Yes,
295,149,76752,84379,Yes,No,,Yes,No,Yes,No,Yes,Yes,,Yes
296,150,90756,92162,No,,,Yes,Yes,Yes,No,,No,,
297,151,42467,75831,No,,No,,,,Yes,Yes,,No,No
298,151,42512,58828,No,Yes,No,,Yes,,,Yes,Yes,,No
299,151,89883,84996,No,Yes,,No,Yes,Yes,,No,No,No,No
300,152,48825,84883,Yes,,,No,No,,Yes,No,No,No,Yes
301,152,17748,8463,,No,,No,Yes,,,Yes,No,No,Yes
302,152,86152,23666,Yes,,Yes,No,No,,No,Yes,No,No,No
303,153,39524,81996,,Yes,No,,No,,,,No,,
304,153,22524,15676,Yes,Yes,,Yes,No,No,Yes,,Yes,,No
305,153,17365,23325,Yes,No,No,,No,,,No,Yes,No,No
306,154,78715,13065,Yes,,Yes,Yes,Yes,No,,,Yes,,Yes
307,154,7976,35521,Yes,,Yes,,Yes,,No,No,,No,No
308,155,48380,48296,No,Yes,,,Yes,Yes,,,Yes,,Yes
309,155,72313,91918,,,No,No,Yes,No,,No,Yes,No,Yes
310,155,23052,11150,,No,,Yes,No,Yes,Yes,Yes,,Yes,Yes
311,156,23301,95346,,Yes,No,No,,Yes,Yes,,,No,No
312,157,23850,12570,Yes,Yes,No,,,No,No,,Yes,Yes,Yes
313,157,6991,77377,,Yes,Yes,No,,Yes,No,,No,Yes,No
314,158,56412,79690,,,,No,No,,No,No,Yes,,
315,159,26424,72149,Yes,Yes,No,,No,,Yes,,No,Yes,
316,159,37469,60383,,No,No,No,,No,,Yes,No,No,No
317,160,57072,5216,,Yes,Yes,No,Yes,Yes,,Yes,Yes,No,No
318,160,69621,53349,Yes,No,Yes,,No,Yes,,,No,Yes,
319,161,44272,10729,,No,Yes,,Yes,No,,No,No,No,Yes
320,162,23947,53598,Yes,No,,,,Yes,No,Yes,No,Yes,No
321,162,39502,24785,No,,Yes,,,No,No,Yes,,,Yes
322,163,30534,75654,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
323,163,5545,18745,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,
324,163,49288,60002,No,No,,No,,,,No,,Yes,Yes
325,164,36832,72524,,,,No,No,No,Yes,No,Yes,Yes,
326,164,73577,90675,Yes,,Yes,,No,Yes,No,,No,No,Yes
327,165,26180,54587,,,No,,,,No,No,Yes,No,Yes
328,165,31687,46097,,Yes,No,Yes,,No,,Yes,No,No,No
329,165,99385,63572,Yes,No,Yes,,No,,No,,No,,Yes
330,166,72525,3479,,Yes,,,Yes,,Yes,,,No,
331,166,98650,61904,,,Yes,No,Yes,No,,,Yes,Yes,No
332,167,2092,43710,No,Yes,Yes,Yes,No,Yes,,Yes,No,,Yes
333,167,72351,89096,Yes,No,No,No,No,,No,No,No,No,
334,168,50214,34158,,No,,,No,,Yes,No,Yes,No,Yes
335,169,22612,51941,No,No,No,No,,No,No,No,No,No,No
336,169,44399,33442,No,No,No,Yes,,No,No,No,Yes,No,Yes
337,169,31194,42914,No,,Yes,Yes,No,No,No,,No,No,No
338,170,42637,65400,No,No,No,,Yes,No,No,,Yes,,Yes
339,171,38703,52558,No,No,,,Yes,,Yes,Yes,Yes,Yes,No
340,172,84531,39058,Yes,,Yes,Yes,Yes,Yes,No,,Yes,,No
341,172,76267,17136,,No,,Yes,Yes,,No,No,Yes,,
342,172,72640,27225,,Yes,No,,,No,Yes,No,,No,No
343,173,45370,16928,Yes,Yes,Yes,,No,,,Yes,Yes,,Yes
344,174,41958,99775,Yes,No,,Yes,No,,,No,Yes,,No
345,175,42768,87789,,,No,,Yes,Yes,Yes,No,,No,Yes
346,175,12572,20269,Yes,Yes,Yes,,,Yes,Yes,Yes,No,No,
347,176,17049,53483,,No,No,No,No,No,No,No,,,Yes
348,176,47976,16078,No,No,,No,Yes,No,,No,,,
349,176,15250,68801,Yes,,,Yes,,No,No,Yes,,Yes,Yes
350,177,95808,38072,No,,,Yes,Yes,,,,No,Yes,
351,178,90495,26910,Yes,,,No,,,No,No,Yes,,Yes
352,178,45718,83994,No,,Yes,,Yes,,,,Yes,Yes,Yes
353,179,99718,20455,Yes,,No,,Yes,Yes,No,,Yes,,
354,179,26708,47517,Yes,No,No,No,,No,Yes,No,No,No,
355,180,27106,70623,No,No,,Yes,Yes,,Yes,No,Yes,Yes,
356,181,70929,25612,Yes,Yes,Yes,No,,No,Yes,,No,No,
357,181,73842,51859,,Yes,Yes,No,,No,,Yes,Yes,,
358,182,90871,3102,No,,No,,Yes,,No,,No,Yes,No
359,182,11070,77988,No,Yes,No,No,No,Yes,,,No,No,
360,182,13746,62918,,No,No,No,,Yes,,No,No,Yes,No
361,183,24758,87232,,Yes,Yes,Yes,Yes,Yes,No,,Yes,,Yes
362,183,821,89994,No,No,,Yes,,Yes,,Yes,Yes,Yes,
363,184,63021,59649,,No,No,,Yes,Yes,No,,No,No,No
364,185,82619,92754,No,No,No,,Yes,No,,,Yes,Yes,Yes
365,185,81435,55676,No,No,No,,No,No,Yes,Yes,,,Yes
366,185,28088,92515,,,No,No,Yes,Yes,No,No,,Yes,
367,186,27632,12851,No,Yes,No,No,Yes,No,Yes,No,,Yes,Yes
368,186,35047,11825,No,No,Yes,,No,Yes,Yes,No,No,No,No
369,187,64736,20753,Yes,No,,No,,,No,Yes,No,,No
370,188,18248,65368,Yes,No,,No,Yes,,No,Yes,Yes,No,Yes
371,188,25860,35420,No,,Yes,,No,Yes,No,Yes,Yes,Yes,No
372,189,62211,42105,No,,Yes,No,,Yes,No,Yes,No,,
373,189,5910,80424,,No,,,,No,No,No,Yes,,No
374,190,79657,62669,No,,No,No,,Yes,,Yes,Yes,Yes,Yes
375,190,87577,75182,,Yes,Yes,,Yes,No,No,No,,,Yes
376,190,51851,84520,Yes,No,,,Yes,Yes,Yes,Yes,Yes,No,
377,191,50851,12606,,,Yes,No,No,No,Yes,Yes,No,,No
378,191,8455,11738,No,Yes,Yes,Yes,No,Yes,No,Yes,,,
379,191,42177,96946,Yes,Yes,,,,No,Yes,No,Yes,No,Yes
380,192,85924,44406,,Yes,Yes,No,No,Yes,No,,No,,Yes
381,193,90812,31780,No,,Yes,Yes,,,,Yes,,Yes,
382,193,90490,39146,No,,,Yes,,,Yes,No,No,No,No
383,193,65178,71300,,,No,Yes,,No,Yes,No,,,
384,194,47453,97933,,No,,,No,,No,,No,,
385,194,40197,64217,,No,,,Yes,No,,No,Yes,Yes,Yes
