Property_Title,Address,Reviewed_Status,Most_Recent_Status,Source,Market,Occupancy,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Net_Yield,IRR,Rent_Restricted,Neighborhood_Rating,Previous_Rent,List_Price,Zestimate,ARV,Expected_Rent,Rent_Zestimate,Low_FMR,High_FMR,HOA,Underwriting_Rehab,Rehab_Calculation,Paint,Flooring_Flag,Foundation_Flag,Roof_Flag,HVAC_Flag,Kitchen_Flag,Bathroom_Flag,Appliances_Flag,Windows_Flag,Landscaping_Flag,Trashout_Flag,Latitude,Longitude,Subdivision,Taxes,Redfin_Value,Selling_Reason,Seller_Retained_Broker,HOA_Flag,Final_Reviewer,School_Average
"4443 Daniel Springs Apt. 443 Lake Robertbury, NJ 61529","4443 Daniel Springs Apt. 443 Lake Robertbury, NJ 61529", ,Pending,Broker,Atlanta,Yes,Minimal Flood,4443 Daniel Springs Apt. 443,Lake Robertbury,NJ,61529,Townhouse,,Far,1.26,1646,,,Yes,City,Septic,2010,731,2624,Garage,4,2,Yes,Split,4.37,14.04,Yes,1,1885,132233,483398,294625,1252,1425,1347,2292,143,29013,12921,,Yes,No,,No,,,,Yes,Yes,Yes,34.15615,-91.672636,Lodge,9171,472854,Investor Sale,,,Emily Patel,7.35
"030 Mcgee Corners New Hollytown, OH 85756","030 Mcgee Corners New Hollytown, OH 85756",Accepted Offer,Cancelled,Opendoor,Florida,No,Flood Zone,030 Mcgee Corners,New Hollytown,OH,85756,SFR,,,2.73,1661,Yes,,Yes,City,,2013,3138,2243,Driveway,6,1,No,Split,8.01,10.0,No,2,1819,366615,325320,176536,1886,3603,1731,3168,197,10533,51139,No,Yes,,No,,,No,,No,Yes,No,39.991233,-113.101075,Pike,3142,538139,Investor Sale,Yes,No,Amit Kumar,5.65
"2690 Holland Wells Brianahaven, MI 49220","2690 Holland Wells Brianahaven, MI 49220", ,Cancelled,Broker,Florida,Yes,,2690 Holland Wells,Brianahaven,MI,49220,Single Family Home,Far,,3.37,623,,Yes,No,,Septic,1952,2943,2431,Street,6,3,Yes,Split,6.14,17.79,No,4,1818,371339,138299,445229,1231,3377,1309,2740,122,48250,98841,,,No,No,Yes,,Yes,No,Yes,,,41.994773,-97.654002,Port,1842,411825,Job Transfer,,No,Jason Miller,4.52
"3444 Cisneros Pass Apt. 192 South Angel, VA 82011","3444 Cisneros Pass Apt. 192 South Angel, VA 82011",Closed, ,MLS, ,,,3444 Cisneros Pass Apt. 192,South Angel,VA,82011,SFR,,Near,2.31,1857,,,No,Well,,1981,3328,3607,Garage,1,4,No,Split,3.0,19.11,,1,870,411595,369743,516336,1244,3652,822,1742,67,66870,31223,No,,Yes,No,Yes,,No,,No,,No,35.497899,-112.472602,Well,9667,241425,Job Transfer,,,Samantha Pierce,3.05
"2053 Leslie Highway Suite 355 East Theresaview, SD 88959","2053 Leslie Highway Suite 355 East Theresaview, SD 88959",Offered,Pend,MLS,Florida,,,2053 Leslie Highway Suite 355,East Theresaview,SD,88959,Townhouse,Far,,1.8,1732,Yes,,,,Septic,1974,2005,3388,Garage,3,2,,,3.1,13.73,,4,2436,177922,135553,130697,1666,3639,1254,1407,380,29464,61200,Yes,No,No,,No,,Yes,,,Yes,No,35.549722,-85.410264,Mill,2416,550083,Investor Sale,No,Yes,David Thompson,9.8
"078 Nina Courts Port Edwardfurt, MP 41452","078 Nina Courts Port Edwardfurt, MP 41452",Closed,Pending,Bulk,Dalas,No,,078 Nina Courts,Port Edwardfurt,MP,41452,Duplex,Far,,2.52,1113,,No,,,Septic,2022,2133,6166,Street,3,2,No,Split,3.46,6.13,No,5,1037,224124,508999,577207,1166,2417,1116,2554,234,52668,72017,No,Yes,Yes,No,,Yes,Yes,Yes,Yes,,Yes,37.683514,-92.281705,Isle,5523,311541,,Yes,,Sophia Williams,8.78
"443 Meyers Inlet Burtonburgh, WA 05412","443 Meyers Inlet Burtonburgh, WA 05412",Offered,Cancelled,Broker,Dalas,,,443 Meyers Inlet,Burtonburgh,WA,05412,Townhouse,Near,,2.13,1847,Yes,No,No,City,,2017,3192,4167,Street,1,3,Yes,Split,5.77,16.06,,5,2822,98689,241998,198807,1066,1763,1547,3328,444,96314,50833,No,No,Yes,Yes,No,No,,No,No,,No,40.511629,-111.537216,Corner,7203,444543,,Yes,No,Jessica Lin,9.95
"946 Frances Forge Alyssaport, NM 53846","946 Frances Forge Alyssaport, NM 53846",Null,Cancelled,MLS,Atlanta,,Minimal Flood,946 Frances Forge,Alyssaport,NM,53846,SFR,Far,,3.05,1474,No,No,No,City,,1998,1840,5014,Driveway,4,4,,Colonial,8.03,11.39,Yes,1,3299,132770,323389,390454,2431,2255,1584,1938,355,23860,15584,,Yes,,No,No,,,Yes,No,No,No,36.270593,-74.155946,Bridge,6261,388251,Investor Sale,,No,Jason Miller,7.58
"75389 Jones Mountains Suite 737 Dakotaside, AK 45838","75389 Jones Mountains Suite 737 Dakotaside, AK 45838",Closed,Closed,Internal,Chicgo,Yes,Minimal Flood,75389 Jones Mountains Suite 737,Dakotaside,AK,45838,Condo,Far,,3.0,247,No,Yes,,Well,,1992,1421,7995,Garage,3,3,,Colonial,9.83,19.68,No,1,1341,296916,470296,425094,1166,3986,1188,2577,388,1473,49668,Yes,No,Yes,,No,No,,No,,,Yes,39.272376,-99.041948,Brooks,6631,107969,,,No,Amit Kumar,5.01
"504 Blake Center Zacharyfort, ID 15564","504 Blake Center Zacharyfort, ID 15564",Closed,Available,MLS,Chicago,No,,504 Blake Center,Zacharyfort,ID,15564,Townhouse,Near,Near,1.59,338,Yes,,No,City,City,2019,2889,4168,Driveway,2,3,Yes,Split,9.8,6.92,,4,2343,399013,167326,434410,1522,1459,1895,3011,180,1223,92717,Yes,Yes,,No,,No,,No,Yes,No,No,35.416347,-109.815863,Forges,9455,505995,Downsizing,,No,Luis Garcia,9.92
"27324 King Lakes Lake Kristaport, PW 63629","27324 King Lakes Lake Kristaport, PW 63629",New,Cancelled,Broker,Atlanta,Yes,,27324 King Lakes,Lake Kristaport,PW,63629,Condo,Far,,1.45,553,Yes,Yes,,City,,1976,870,4871,Garage,6,1,No,Colonial,6.41,14.33,,2,1546,391724,402355,168216,2449,3176,1393,2402,303,5509,79193,No,Yes,,No,,Yes,Yes,Yes,No,Yes,No,35.566203,-89.4974,Lodge,6011,384733,Job Transfer,,No,Sophia Williams,8.91
"205 Heather Locks New Tylerchester, ME 67117","205 Heather Locks New Tylerchester, ME 67117", ,Null,Bulk,Chicago,Yes,Flood Zone,205 Heather Locks,New Tylerchester,ME,67117,Townhouse,Near,Far,1.33,1934,Yes,,,,Septic,2001,1169,8389,,3,3,No,,7.08,18.46,Yes,1,815,198643,263710,423139,1472,2881,1897,2633,341,31749,4791,Yes,No,Yes,,,,No,No,Yes,,No,38.409561,-75.27478,Shores,3812,227383,Investor Sale,,No,Sophia Williams,9.95
"1994 Martinez Lights Suite 797 West Katherinefort, PA 52298","1994 Martinez Lights Suite 797 West Katherinefort, PA 52298",Reviewed,Cancelled,Opendoor,Chicgo,No,Flood Zone,1994 Martinez Lights Suite 797,West Katherinefort,PA,52298,Townhouse,Far,,2.74,1395,Yes,No,No,City,,1978,2869,1839,Garage,5,1,Yes,Split,3.74,16.53,Yes,1,1323,271268,448701,322438,2435,3025,1418,2760,36,39621,24103,No,Yes,Yes,Yes,No,Yes,No,,Yes,,Yes,38.324014,-114.614632,Mountain,3670,299147,,No,Yes,Amit Kumar,9.81
"6389 Antonio Passage Port Elizabeth, NJ 55190","6389 Antonio Passage Port Elizabeth, NJ 55190",Null,Close,M L S,Chicgo,,Flood Zone,6389 Antonio Passage,Port Elizabeth,NJ,55190,Single Family Home,Far,,3.44,411,Yes,No,No,,,1982,899,6166,Street,1,4,,Colonial,9.11,9.2,,4,3392,282025,469536,244136,2570,3708,1598,1339,423,44163,66402,Yes,No,,,No,,No,Yes,Yes,,Yes,33.918497,-78.412817,Track,3837,264933,Investor Sale,Yes,,Michael Chen,5.64
"437 Nunez Locks West Devinville, IN 97553","437 Nunez Locks West Devinville, IN 97553",Accepted Offer,Pending,Auction.com,Atlanta,,Minimal Flood,437 Nunez Locks,West Devinville,IN,97553,Condo,,Far,1.35,1118,,Yes,,City,Septic,2013,1180,9607,Street,6,1,Yes,Ranch,10.95,7.9,Yes,3,2547,477238,248242,577434,1085,3650,960,1988,153,32527,62604,,,No,No,,,Yes,Yes,,,No,36.485086,-114.561523,Bridge,7909,99198,,No,No,Luis Garcia,4.87
"25250 Walsh Mission Apt. 090 Rossburgh, WI 75590","25250 Walsh Mission Apt. 090 Rossburgh, WI 75590", ,Closed,Auction.com,Florida,No,,25250 Walsh Mission Apt. 090,Rossburgh,WI,75590,Townhouse,,Far,1.7,46,Yes,,Yes,,Septic,1989,2666,7902,,1,1,,Ranch,3.68,19.49,,4,2438,247036,431984,282864,2791,3918,815,1316,395,8583,26595,No,,Yes,,Yes,No,Yes,Yes,No,No,Yes,40.271899,-81.686731,Union,4692,115495,Downsizing,,,Amit Kumar,9.77
"15142 Proctor Green Jenniferview, OR 24677","15142 Proctor Green Jenniferview, OR 24677",Cancelled,Pending,M L S, ,No,Flood Zone,15142 Proctor Green,Jenniferview,OR,24677,Townhouse,Far,,3.11,1896,,,,,City,2000,2000,3438,Driveway,6,3,Yes,Colonial,10.95,14.1,Yes,4,3172,227308,316297,532702,2485,1894,1691,1473,374,18397,48937,Yes,No,Yes,,Yes,No,Yes,No,No,No,No,40.542535,-79.652937,Cliff,7382,238867,Job Transfer,No,No,Amit Kumar,5.31
"117 Hanson Dam Apt. 128 Clarkfurt, SD 17613","117 Hanson Dam Apt. 128 Clarkfurt, SD 17613",Offered,Close,MLS,Florida,No,Flood Zone,117 Hanson Dam Apt. 128,Clarkfurt,SD,17613,SFR,Near,Far,2.9,70,No,No,,Well,Septic,2016,623,8904,Garage,2,1,No,Ranch,4.88,19.9,No,5,1950,467243,459767,271579,2628,2062,821,3155,42,12947,27314,No,Yes,,Yes,No,Yes,,,Yes,,No,38.936347,-98.674801,Flats,4579,393838,,No,No,Amit Kumar,5.55
"07256 Blackburn Courts Suite 069 Lake Shawn, NM 96825","07256 Blackburn Courts Suite 069 Lake Shawn, NM 96825",Cancelled,Kick,M L S,Chicago,,Minimal Flood,07256 Blackburn Courts Suite 069,Lake Shawn,NM,96825,Townhouse,,,1.91,762,Yes,,,City,City,2006,2323,2062,Garage,2,4,,,3.82,19.35,Yes,1,2503,358497,256135,433861,2964,1497,1112,3296,11,76849,22696,Yes,No,No,Yes,Yes,No,,Yes,Yes,,No,34.556788,-85.486573,Key,6682,126860,Investor Sale,No,,Sophia Williams,7.97
"30029 Tyler Green Lake Jesustown, UT 14607","30029 Tyler Green Lake Jesustown, UT 14607",Accepted Offer,Closed,Internal,Dallas,,Flood Zone,30029 Tyler Green,Lake Jesustown,UT,14607,Duplex,,,3.38,157,,No,,City,Septic,1972,712,9469,Street,1,2,Yes,,5.46,5.61,,4,897,284060,219549,542313,1554,1406,1105,3023,219,90828,27416,,Yes,,No,Yes,No,No,Yes,No,,No,40.476374,-109.048007,Land,7008,109096,,No,,Jason Miller,5.26
"57938 Briana Lakes Lisastad, AL 62829","57938 Briana Lakes Lisastad, AL 62829",Null,Closed,M L S,Tampa,Yes,Flood Zone,57938 Briana Lakes,Lisastad,AL,62829,Condo,Far,Far,1.76,694,Yes,Yes,,City,City,1989,1265,7607,Street,2,4,,Colonial,8.11,12.12,,1,1891,355239,504909,474734,3350,2441,1849,2001,171,77410,62625,No,Yes,No,,Yes,No,,,Yes,Yes,,34.817759,-90.286728,Street,9124,328983,Downsizing,,,Jason Miller,7.13
"866 Matthews Junction West Elizabeth, NC 43429","866 Matthews Junction West Elizabeth, NC 43429",Closed,Available,MLS,Chicago,,Flood Zone,866 Matthews Junction,West Elizabeth,NC,43429,Condo,,Near,1.72,647,No,,Yes,,Septic,1993,3167,8728,Street,5,4,,Ranch,8.56,7.98,No,4,3327,396142,323896,107778,1863,3552,773,3461,23,38481,13280,No,No,,No,No,Yes,Yes,Yes,No,,Yes,36.579209,-95.458829,Rue,9906,210793,Job Transfer,Yes,Yes,Jessica Lin,4.08
"62330 Johns Streets North Nicholas, OR 49294","62330 Johns Streets North Nicholas, OR 49294",Offered,Always Kick,Bulk,Dalas,No,Flood Zone,62330 Johns Streets,North Nicholas,OR,49294,Condo,Near,Far,2.22,1696,,Yes,No,City,Septic,1994,2248,7592,Driveway,2,4,Yes,,5.52,15.74,Yes,5,1255,411548,101294,548860,3342,1396,1551,2962,126,59478,96046,Yes,Yes,,No,,No,No,No,,,Yes,39.755265,-117.017856,Ford,3598,421144,,,,Emily Patel,6.34
"45663 Andrew Parkway Suite 848 Kellerfurt, WV 21337","45663 Andrew Parkway Suite 848 Kellerfurt, WV 21337",Null,Available,Bulk,Chicago,,,45663 Andrew Parkway Suite 848,Kellerfurt,WV,21337,Condo,,,3.11,1981,No,No,Yes,City,,2008,3062,8280,Driveway,5,4,,,10.57,17.33,,3,3069,251210,227884,561311,1929,997,1426,3071,323,78946,94625,,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,40.314956,-117.455288,Harbor,3107,515955,Downsizing,,No,Michael Chen,3.02
"811 Anne Rest Apt. 894 Lake Jennifertown, VI 23145","811 Anne Rest Apt. 894 Lake Jennifertown, VI 23145",New,Close,MLS,Chicgo,No,Minimal Flood,811 Anne Rest Apt. 894,Lake Jennifertown,VI,23145,Duplex,Near,,1.36,321,Yes,No,No,,City,1995,2733,4835,,2,3,Yes,Split,9.31,10.33,,2,2135,408031,532946,411792,1663,1394,1869,2212,42,89117,53773,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,No,Yes,39.442956,-88.323082,Crossing,2471,326341,Investor Sale,,,David Thompson,3.55
"544 Wendy Meadows Nicholasmouth, IL 62514","544 Wendy Meadows Nicholasmouth, IL 62514",Offered,Pending,Bulk,Dalas,,Minimal Flood,544 Wendy Meadows,Nicholasmouth,IL,62514,Duplex,Near,Far,1.05,1984,,Yes,,,,2003,3061,4780,,2,2,,Split,7.87,9.11,,2,1428,466479,389815,590295,2035,3540,1117,1503,272,25979,56575,No,,Yes,No,,,,,Yes,,Yes,37.379869,-89.234566,Keys,1927,423603,Job Transfer,Yes,,Jason Miller,8.12
"6118 Schwartz Alley Apt. 735 Lake Ryan, NC 23509","6118 Schwartz Alley Apt. 735 Lake Ryan, NC 23509",Offered,Kick,MLS,Dalas,No,,6118 Schwartz Alley Apt. 735,Lake Ryan,NC,23509,Single Family Home,,,2.15,275,No,Yes,,,,2018,1327,8347,Garage,1,4,Yes,Split,7.52,12.06,No,5,3038,419946,396106,287824,2255,2474,1266,1786,147,30751,55799,No,,Yes,,No,No,Yes,,No,,,36.836513,-87.827577,Knoll,7408,519043,Investor Sale,No,Yes,Luis Garcia,7.33
"3207 Christopher Trafficway Apt. 032 Catherinechester, GA 92495","3207 Christopher Trafficway Apt. 032 Catherinechester, GA 92495",Closed,Kick,M L S,Dallas,No,,3207 Christopher Trafficway Apt. 032,Catherinechester,GA,92495,Townhouse,,,2.83,447,Yes,No,,City,Septic,1988,1600,4055,Street,4,4,,Split,5.52,19.52,,4,1693,193048,383414,508491,2623,1342,944,2186,247,85468,54292,Yes,Yes,Yes,,No,Yes,No,,No,Yes,,39.486594,-110.144165,Highway,2448,568232,,Yes,Yes,David Thompson,4.64
"3853 James Isle Port Kellyburgh, WV 97881","3853 James Isle Port Kellyburgh, WV 97881",New,Close,M L S,Dallas,,Minimal Flood,3853 James Isle,Port Kellyburgh,WV,97881,Condo,,,3.42,471,,,No,Well,,2017,3075,6226,,3,2,No,,7.21,14.25,Yes,4,1137,188716,226860,398840,1546,2068,757,1759,348,46704,88706,Yes,Yes,,,,Yes,,No,Yes,,No,41.458378,-75.524008,Street,8146,278010,Downsizing,Yes,No,Luis Garcia,8.02
"7095 Amy Valley Port Deannaburgh, LA 14445","7095 Amy Valley Port Deannaburgh, LA 14445",Null,Always Kick,Auction.com,Atlanta,Yes,Flood Zone,7095 Amy Valley,Port Deannaburgh,LA,14445,SFR,Far,,3.14,472,Yes,No,,City,City,2021,3113,5140,,1,1,,Colonial,4.34,5.16,No,2,1044,247293,324963,223101,1504,2931,1204,1958,132,38024,27753,,,No,Yes,Yes,No,Yes,Yes,,No,No,33.356218,-73.879747,Mission,6331,434376,Job Transfer,,No,Sophia Williams,7.61
"54784 Mora Orchard Stewartview, PA 56086","54784 Mora Orchard Stewartview, PA 56086",New,Pend,Broker,Dalas,,,54784 Mora Orchard,Stewartview,PA,56086,Condo,Far,Near,1.3,1029,,Yes,No,Well,Septic,1954,1823,7603,Garage,2,4,No,Ranch,5.55,13.14,No,2,2494,277373,499201,585571,2826,3092,1670,1144,353,24681,67162,No,,No,No,Yes,No,,Yes,Yes,No,No,38.244063,-96.335838,Fort,8560,184708,Investor Sale,,No,Jessica Lin,9.71
"16360 Mary River New Angela, WA 79368","16360 Mary River New Angela, WA 79368",Reviewed,Pend,Opendoor, ,No,Minimal Flood,16360 Mary River,New Angela,WA,79368,Duplex,,Far,3.18,582,Yes,Yes,,,City,2014,3283,2276,Street,4,1,,Ranch,4.36,8.82,Yes,1,874,456584,284915,437860,1296,1099,1181,3442,347,44918,10097,Yes,No,No,No,Yes,No,Yes,,,,,35.802949,-79.756587,Mills,7133,496704,Job Transfer,No,,Amit Kumar,6.71
"40246 Nguyen Walks Brockstad, MO 75048","40246 Nguyen Walks Brockstad, MO 75048",Cancelled,Null,MLS, ,,Flood Zone,40246 Nguyen Walks,Brockstad,MO,75048,Townhouse,,Near,3.17,1546,Yes,,Yes,City,Septic,1984,1608,5382,Garage,1,3,Yes,,7.41,10.45,No,4,1300,231739,188994,254667,952,1235,731,2850,480,14026,54664,Yes,Yes,Yes,Yes,No,Yes,,,Yes,No,No,38.435653,-116.591726,Path,8468,287167,,Yes,Yes,Sophia Williams,8.55
"78950 Rebecca Haven New Alexander, UT 09790","78950 Rebecca Haven New Alexander, UT 09790",Null,Always Kick,MLS,Tampa,Yes,Minimal Flood,78950 Rebecca Haven,New Alexander,UT,09790,Townhouse,Near,Far,2.53,1567,Yes,Yes,Yes,,,2008,3218,4362,Driveway,4,2,Yes,Colonial,3.69,13.57,No,4,2752,414990,158750,372119,2764,3284,1182,1430,151,76155,10044,No,No,,No,Yes,,No,Yes,Yes,,,35.362889,-102.126314,Village,1953,532728,,,Yes,Michael Chen,6.46
